site,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14
BALASUCMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARBJERMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEALTOMMD1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLOCDAVMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRIGKIMMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROWANNDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROWANNMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUISNORVA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURDROBVA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPGLOMD1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAMPROSMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLARCOLDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLSKATMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGANMARMD1,0,1,1,2,1,0,0,0,0,0,0,1,0,0
FARYSIMMD1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
FISHFERVA1,0,0,0,1,1,1,0,2,0,0,0,0,0,0
GECACARVA1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
JACOMERMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KESTSABDC1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
KEYESUSMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANDCELVA1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
LEONTESDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNJANDC1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
MCDOELIVA1,0,1,1,0,2,1,0,0,1,0,0,1,0,1
MOLIKARMD1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MORRCHRVA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSMCARMD1,1,0,0,0,0,0,0,1,1,0,0,0,1,1
NEWBCARVA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OBRICHRMD1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ONTAHOUDC1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PADORAMVA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERRCHRMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHARAIMMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIROELADC1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
REITBOBMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROHRSALMD1,2,1,1,0,0,0,0,1,2,0,1,3,2,1
SALOSHEMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCHLROBMD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SILLSCOMD1,2,2,1,1,1,0,2,1,2,1,0,0,1,1
STANJEFMD1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
STEWBETMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STUECHRVA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STURCARMD1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
TATEJUAMD1,1,1,1,0,1,2,0,0,0,0,0,1,1,0
VERSBETMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VONGJENMD1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
WILLTERMD1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZAMBTRAMD1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
