site,visit,activity,date,time,temp,dew
BALASUCMD1,1,setup,2016-06-29,790,,
BALASUCMD1,1,transect,2016-06-29,802,81,60.1
BALASUCMD1,2,takedown,2016-07-06,456,,
BALASUCMD1,2,pointcount,2016-07-06,460,,
BALASUCMD1,2,transect,2016-07-06,472,82,73
BALASUCMD1,2,resight,2016-07-06,476,,
BALASUCMD1,3,transect,2016-07-15,577,86,66.9
BALASUCMD1,3,pointcount,2016-07-15,582,,
BALASUCMD1,3,setup,2016-07-15,600,,
BALASUCMD1,4,transect,2016-07-22,429,75,71.1
BALASUCMD1,4,pointcount,2016-07-22,435,,
BALASUCMD1,4,resight,2016-07-22,448,,
BALASUCMD1,4,takedown,2016-07-22,476,,
BALASUCMD1,5,,,,,
BALASUCMD1,6,,,,,
BARBJERMD1,1,setup,2016-06-24,654,,
BARBJERMD1,1,transect,2016-06-24,658,81,69.1
BARBJERMD1,1,pointcount,2016-06-24,662,,
BARBJERMD1,1,resight,2016-06-24,675,,
BARBJERMD1,2,transect,2016-07-01,495,73.9,70
BARBJERMD1,2,takedown,2016-07-01,502,,
BARBJERMD1,2,pointcount,2016-07-01,507,,
BARBJERMD1,3,transect,2016-07-12,502,73.9,68
BARBJERMD1,3,setup,2016-07-12,518,,
BARBJERMD1,3,resight,2016-07-12,519,,
BARBJERMD1,4,transect,2016-07-19,529,82,70
BARBJERMD1,4,pointcount,2016-07-19,535,,
BARBJERMD1,4,takedown,2016-07-19,548,,
BARBJERMD1,5,,,,,
BARBJERMD1,6,,,,,
BEALTOMMD1,1,transect,2016-06-20,528,75,57.9
BEALTOMMD1,1,pointcount,2016-06-20,532,,
BEALTOMMD1,1,setup,2016-06-20,558,,
BEALTOMMD1,1,resight,2016-06-20,563,,
BEALTOMMD1,2,transect,2016-06-27,673,79,66.9
BEALTOMMD1,2,takedown,2016-06-27,677,,
BEALTOMMD1,2,pointcount,2016-06-27,684,,
BEALTOMMD1,3,transect,2016-07-13,422,77,73
BEALTOMMD1,3,resight,2016-07-13,425,,
BEALTOMMD1,3,setup,2016-07-13,461,,
BEALTOMMD1,4,transect,2016-07-20,552,75.9,66.9
BEALTOMMD1,4,pointcount,2016-07-20,555,,
BEALTOMMD1,4,takedown,2016-07-20,566,,
BEALTOMMD1,5,,,,,
BEALTOMMD1,6,,,,,
BLOCDAVMD1,1,transect,2016-06-27,575,77,66.9
BLOCDAVMD1,1,setup,2016-06-27,593,,
BLOCDAVMD1,1,pointcount,2016-06-27,597,,
BLOCDAVMD1,1,resight,2016-06-27,609,,
BLOCDAVMD1,2,transect,2016-07-04,549,70,66
BLOCDAVMD1,2,takedown,2016-07-04,555,,
BLOCDAVMD1,2,resight,2016-07-04,558,,
BLOCDAVMD1,3,transect,2016-07-13,660,84,75
BLOCDAVMD1,3,pointcount,2016-07-13,667,,
BLOCDAVMD1,3,setup,2016-07-13,680,,
BLOCDAVMD1,4,transect,2016-07-20,370,70,66.9
BLOCDAVMD1,4,pointcount,2016-07-20,377,,
BLOCDAVMD1,4,resight,2016-07-20,391,,
BLOCDAVMD1,4,takedown,2016-07-20,415,,
BLOCDAVMD1,5,transect,2016-08-05,684,80.1,68
BLOCDAVMD1,5,pointcount,2016-08-05,691,,
BLOCDAVMD1,5,setup,2016-08-05,709,,
BLOCDAVMD1,6,,,,,
BRIGKIMMD1,1,setup,2016-06-09,739,,
BRIGKIMMD1,1,transect,2016-06-09,741,75,48
BRIGKIMMD1,1,pointcount,2016-06-09,747,,
BRIGKIMMD1,1,resight,2016-06-09,760,,
BRIGKIMMD1,2,takedown,2016-06-16,512,,
BRIGKIMMD1,2,transect,2016-06-16,518,72,68
BRIGKIMMD1,2,resight,2016-06-16,532,,
BRIGKIMMD1,3,transect,2016-07-05,666,82,73
BRIGKIMMD1,3,pointcount,2016-07-05,684,,
BRIGKIMMD1,3,setup,2016-07-05,697,,
BRIGKIMMD1,4,transect,2016-07-12,440,73,66.9
BRIGKIMMD1,4,resight,2016-07-12,444,,
BRIGKIMMD1,4,takedown,2016-07-12,475,,
BRIGKIMMD1,5,transect,2016-08-02,428,75.9,73
BRIGKIMMD1,5,pointcount,2016-08-02,434,,
BRIGKIMMD1,5,resight,2016-08-02,447,,
BRIGKIMMD1,5,setup,2016-08-02,482,,
BRIGKIMMD1,6,,,,,
BROWANNDC1,1,transect,2016-06-15,632,73.9,61
