SITE,VISIT,CAT,DESCRIPTION,TIME,DATE
BALASUCMD1,1,0,,1322,29-Jun
BALASUCMD1,2,0,,752,6-Jul
BALASUCMD1,3,0,,937,15-Jul
BALASUCMD1,4,,,,
BALASUCMD1,5,,,,
BALASUCMD1,6,,,,
BARBJERMD1,1,0,,1058,24-Jun
BARBJERMD1,2,0,,815,1-Jul
BARBJERMD1,3,0,,822,12-Jul
BARBJERMD1,4,,,,
BARBJERMD1,5,,,,
BARBJERMD1,6,,,,
BEALTOMMD1,1,1,"Tabby top, white underneath (Tom's cat)",848,20-Jun
BEALTOMMD1,2,0,,1113,27-Jun
BEALTOMMD1,3,0,,702,13-Jul
BEALTOMMD1,4,,,,
BEALTOMMD1,5,,,,
BEALTOMMD1,6,,,,
BLOCDAVMD1,1,1,All black,935,27-Jun
BLOCDAVMD1,2,1,"All black, no collar",909,4-Jul
BLOCDAVMD1,2,1,"Collar, siamese with dark on sides",909,4-Jul
BLOCDAVMD1,2,1,"Collar, furry black and orange (tortoiseshell)",909,4-Jul
BLOCDAVMD1,3,0,,1100,13-Jul
BLOCDAVMD1,4,,,,
BLOCDAVMD1,5,,,,
BLOCDAVMD1,6,,,,
BRIGKIMMD1,1,0,,1221,9-Jun
BRIGKIMMD1,2,0,,838,16-Jun
BRIGKIMMD1,3,0,,1106,5-Jul
BRIGKIMMD1,4,1,"Gray, white bib, white on forehead",720,12-Jul
BRIGKIMMD1,5,,,,
BRIGKIMMD1,6,,,,
BROWANNDC1,1,1,"Somewhat furry, all black",1032,15-Jun
BROWANNDC1,2,0,,1007,22-Jun
BROWANNDC1,3,0,,749,11-Jul
BROWANNDC1,4,,,,
BROWANNDC1,5,,,,
BROWANNDC1,6,,,,
BROWANNMD1,1,0,,1236,21-Jun
BROWANNMD1,2,0,,1126,28-Jun
BROWANNMD1,3,0,,737,5-Jul
BROWANNMD1,4,0,,1004,12-Jul
BROWANNMD1,5,,,,
BROWANNMD1,6,,,,
BUISNORVA1,1,0,,1510,6-Jun
BUISNORVA1,2,0,,1256,13-Jun
BUISNORVA1,3,,,,
BUISNORVA1,4,,,,
BUISNORVA1,5,,,,
BUISNORVA1,6,,,,
BURDROBVA1,1,0,,1118,13-Jun
BURDROBVA1,2,0,,1404,20-Jun
BURDROBVA1,3,,,,
BURDROBVA1,4,,,,
BURDROBVA1,5,,,,
BURDROBVA1,6,,,,
CAMPGLOMD1,1,1,"Small tabby, bold markings",1048,17-Jun
CAMPGLOMD1,2,0,,1225,24-Jun
CAMPGLOMD1,3,0,,948,6-Jul
CAMPGLOMD1,4,0,,839,13-Jul
CAMPGLOMD1,5,,,,
CAMPGLOMD1,6,,,,
CAMPROSMD1,1,1,"Calico, white bib, socks, no collar",646,20-Jun
CAMPROSMD1,2,0,,839,27-Jun
CAMPROSMD1,3,0,,1025,15-Jul
CAMPROSMD1,4,,,,
CAMPROSMD1,5,,,,
CAMPROSMD1,6,,,,
CLARCOLDC1,1,0,,755,24-Jun
CLARCOLDC1,2,0,,1349,1-Jul
CLARCOLDC1,3,0,,724,7-Jul
CLARCOLDC1,4,0,,1041,14-Jul
CLARCOLDC1,5,,,,
CLARCOLDC1,6,,,,
COLSKATMD1,1,0,,1438,14-Jun
COLSKATMD1,2,0,,1428,21-Jun
COLSKATMD1,3,0,,617,12-Jul
COLSKATMD1,4,,,,
COLSKATMD1,5,,,,
COLSKATMD1,6,,,,
EGANMARMD1,1,0,,1611,10-Jun
EGANMARMD1,2,0,,802,17-Jun
EGANMARMD1,3,0,,1059,4-Jul
EGANMARMD1,4,0,,853,11-Jul
EGANMARMD1,5,,,,
EGANMARMD1,6,,,,
FARYSIMMD1,1,0,,647,16-Jun
FARYSIMMD1,2,0,,620,23-Jun
FARYSIMMD1,3,0,,1027,11-Jul
FARYSIMMD1,4,,,,
FARYSIMMD1,5,,,,
FARYSIMMD1,6,,,,
FISHFERVA1,1,0,,752,9-Jun
FISHFERVA1,2,0,,1155,16-Jun
FISHFERVA1,3,,,,
FISHFERVA1,4,,,,
FISHFERVA1,5,,,,
FISHFERVA1,6,,,,
GECACARVA1,1,0,,929,13-Jun
GECACARVA1,2,1,"Gray, white underneath, wearing collar",1234,20-Jun
GECACARVA1,3,1,"Gray tabby with collar, lighter chest but not white, shorthair",849,7-Jul
GECACARVA1,4,0,,929,14-Jul
GECACARVA1,5,,,,
GECACARVA1,6,,,,
GERYERIMD1,1,0,,1201,17-Jun
GERYERIMD1,2,0,,1228,23-Jun
GERYERIMD1,3,1,Furry gray and white,610,8-Jul
GERYERIMD1,4,0,,558,15-Jul
GERYERIMD1,5,,,,
GERYERIMD1,6,,,,
JACOMERMD1,1,0,,805,21-Jun
JACOMERMD1,2,0,,1433,28-Jun
JACOMERMD1,3,,,,
JACOMERMD1,4,,,,
JACOMERMD1,5,,,,
JACOMERMD1,6,,,,
KESTSABDC1,1,0,,810,14-Jun
KESTSABDC1,2,0,,1007,21-Jun
KESTSABDC1,3,,,,
KESTSABDC1,4,,,,
KESTSABDC1,5,,,,
KESTSABDC1,6,,,,
KEYESUSMD1,1,0,,950,10-Jun
KEYESUSMD1,2,0,,1345,17-Jun
KEYESUSMD1,3,,,,
KEYESUSMD1,4,,,,
KEYESUSMD1,5,,,,
KEYESUSMD1,6,,,,
LANDCELVA1,1,0,,1324,16-Jun
LANDCELVA1,2,0,,1135,23-Jun
LANDCELVA1,3,,,,
LANDCELVA1,4,,,,
LANDCELVA1,5,,,,
