site,visit,species,count,distance,notes,collar
BALASUCMD1,1,cat,0,,,
BALASUCMD1,2,cat,0,,,
BALASUCMD1,3,cat,0,,,
BALASUCMD1,4,cat,0,,,
BALASUCMD1,4,squirrel,0,,,
BALASUCMD1,4,dog,0,,,
BALASUCMD1,5,cat,0,,,
BALASUCMD1,5,squirrel,0,,,
BALASUCMD1,5,dog,0,,,
BALASUCMD1,6,cat,0,,,
BALASUCMD1,6,squirrel,0,,,
BALASUCMD1,6,dog,0,,,
BARBJERMD1,1,cat,0,,,
BARBJERMD1,2,cat,0,,,
BARBJERMD1,3,cat,0,,,
BARBJERMD1,4,cat,0,,,
BARBJERMD1,4,squirrel,0,,,
BARBJERMD1,4,dog,0,,,
BARBJERMD1,5,cat,0,,,
BARBJERMD1,5,squirrel,0,,,
BARBJERMD1,5,dog,0,,,
BARBJERMD1,6,cat,1,14,Jane,N
BARBJERMD1,6,squirrel,0,,,
BARBJERMD1,6,dog,0,,,
BEALTOMMD1,1,cat,0,,,
BEALTOMMD1,2,cat,0,,,
BEALTOMMD1,3,cat,0,,,
BEALTOMMD1,4,cat,0,,,
BEALTOMMD1,4,squirrel,0,,,
BEALTOMMD1,4,dog,0,,,
BEALTOMMD1,5,cat,0,,,
BEALTOMMD1,5,squirrel,0,,,
BEALTOMMD1,5,dog,0,,,
BEALTOMMD1,6,cat,0,,,
BEALTOMMD1,6,squirrel,0,,,
BEALTOMMD1,6,dog,0,,,
BLOCDAVMD1,1,cat,0,,,
BLOCDAVMD1,2,cat,0,,,
BLOCDAVMD1,3,cat,1,13,Dan,N
BLOCDAVMD1,4,cat,1,12,Drake,U
BLOCDAVMD1,4,cat,1,20,Dick,U
BLOCDAVMD1,4,squirrel,0,,,
BLOCDAVMD1,4,dog,0,,,
BLOCDAVMD1,5,cat,1,25,Dan,N
BLOCDAVMD1,5,cat,1,15,Duchess,U
BLOCDAVMD1,5,squirrel,0,,,
BLOCDAVMD1,5,dog,0,,,
BLOCDAVMD1,6,cat,1,20,Drake,U
BLOCDAVMD1,6,cat,1,20,Dick,U
BLOCDAVMD1,6,cat,1,23,Deirdre,Y
BLOCDAVMD1,6,squirrel,0,,,
BLOCDAVMD1,6,dog,1,11,,
BRIGKIMMD1,1,cat,0,,,
BRIGKIMMD1,2,cat,1,20,Katie,U
BRIGKIMMD1,2,cat,1,20,Kristen,U
BRIGKIMMD1,3,cat,0,,,
BRIGKIMMD1,4,cat,0,,,
BRIGKIMMD1,5,cat,1,22,Katie,U
BRIGKIMMD1,5,squirrel,0,,,
BRIGKIMMD1,5,dog,0,,,
BRIGKIMMD1,6,cat,0,,,
BRIGKIMMD1,6,squirrel,0,,,
BRIGKIMMD1,6,dog,0,,,
BROWANNDC1,1,cat,0,,,
BROWANNDC1,2,cat,0,,,
BROWANNDC1,3,cat,0,,,
BROWANNDC1,4,cat,0,,,
BROWANNDC1,5,cat,0,,,
BROWANNDC1,5,squirrel,0,,,
BROWANNDC1,5,dog,0,,,
BROWANNDC1,6,cat,0,,,
BROWANNDC1,6,squirrel,1,3,,
BROWANNDC1,6,squirrel,1,8,,
BROWANNDC1,6,squirrel,1,35,,
BROWANNDC1,6,dog,0,,,
BROWANNMD1,1,cat,0,,,
BROWANNMD1,2,cat,0,,,
BROWANNMD1,3,cat,0,,,
BROWANNMD1,4,cat,0,,,
BROWANNMD1,5,cat,0,,,
BROWANNMD1,5,squirrel,0,,,
BROWANNMD1,5,dog,0,,,
BROWANNMD1,6,cat,0,,,
BROWANNMD1,6,squirrel,0,,,
BROWANNMD1,6,dog,0,,,
BUISNORVA1,1,cat,0,,,
BUISNORVA1,2,cat,0,,,
BUISNORVA1,3,cat,0,,,
BUISNORVA1,3,squirrel,1,8,,
BUISNORVA1,3,dog,0,,,
BUISNORVA1,4,cat,0,,,
BUISNORVA1,4,squirrel,0,,,
BUISNORVA1,4,dog,0,,,
BUISNORVA1,5,cat,0,,,
BUISNORVA1,5,squirrel,0,,,
BUISNORVA1,5,dog,0,,,
BUISNORVA1,6,cat,0,,,
BUISNORVA1,6,squirrel,0,,,
BUISNORVA1,6,dog,0,,,
BURDROBVA1,1,cat,0,,,
BURDROBVA1,2,cat,0,,,
BURDROBVA1,3,cat,0,,,
BURDROBVA1,4,cat,0,,,
BURDROBVA1,4,squirrel,0,,,
BURDROBVA1,4,dog,0,,,
BURDROBVA1,5,cat,0,,,
BURDROBVA1,5,squirrel,0,,,
BURDROBVA1,5,dog,0,,,
BURDROBVA1,6,cat,1,18,Rick,U
BURDROBVA1,6,squirrel,0,,,
BURDROBVA1,6,dog,1,10,,
CAMPGLOMD1,1,cat,0,,,
CAMPGLOMD1,2,cat,0,,,
CAMPGLOMD1,3,cat,1,20,Greg,N
CAMPGLOMD1,4,cat,0,,,
CAMPGLOMD1,5,cat,0,,,
CAMPGLOMD1,5,squirrel,0,,,
CAMPGLOMD1,5,dog,0,,,
CAMPGLOMD1,6,cat,0,,,
CAMPGLOMD1,6,squirrel,0,,,
CAMPGLOMD1,6,dog,0,,,
CAMPROSMD1,1,cat,0,,,
CAMPROSMD1,2,cat,0,,,
CAMPROSMD1,3,cat,0,,,
CAMPROSMD1,4,cat,0,,,
CAMPROSMD1,4,squirrel,0,,,
CAMPROSMD1,4,dog,0,,,
CAMPROSMD1,5,cat,0,,,
CAMPROSMD1,5,squirrel,0,,,
CAMPROSMD1,5,dog,0,,,
CAMPROSMD1,6,cat,0,,,
CAMPROSMD1,6,squirrel,0,,,
CAMPROSMD1,6,dog,0,,,
CLARCOLDC1,1,cat,0,,,
CLARCOLDC1,2,cat,0,,,
CLARCOLDC1,3,cat,0,,,
CLARCOLDC1,4,cat,0,,,
CLARCOLDC1,5,cat,0,,,
CLARCOLDC1,5,squirrel,1,3,,
CLARCOLDC1,5,dog,0,,,
CLARCOLDC1,6,cat,0,,,
