site,visit,activity,date,timeHour,time,temp,dew
BALASUCMD1,1,setup,2016-06-29,13:10,790,,
BALASUCMD1,1,transect,2016-06-29,13:22,802,81,60.1
BALASUCMD1,2,takedown,2016-07-06,7:36,456,,
BALASUCMD1,2,pointcount,2016-07-06,7:40,460,,
BALASUCMD1,2,transect,2016-07-06,7:52,472,82,73
BALASUCMD1,2,resight,2016-07-06,7:56,476,,
BALASUCMD1,3,transect,2016-07-15,9:37,577,86,66.9
BALASUCMD1,3,pointcount,2016-07-15,9:42,582,,
BALASUCMD1,3,setup,2016-07-15,10:00,600,,
BALASUCMD1,4,transect,2016-07-22,7:09,429,75,71.1
BALASUCMD1,4,pointcount,2016-07-22,7:15,435,,
BALASUCMD1,4,resight,2016-07-22,7:28,448,,
BALASUCMD1,4,takedown,2016-07-22,7:56,476,,
BALASUCMD1,5,transect,2016-08-16,6:31,391,75,73
BALASUCMD1,5,resight,2016-08-16,6:34,394,,
BALASUCMD1,5,setup,2016-08-16,7:04,424,,
BALASUCMD1,6,transect,2016-08-23,12:05,725,80.1,55.9
BALASUCMD1,6,pointcount,2016-08-23,12:09,729,,
BALASUCMD1,6,takedown,2016-08-23,12:23,743,,
BALASUCMD1,6,resight,2016-08-23,12:27,747,,
BARBJERMD1,1,setup,2016-06-24,10:54,654,,
BARBJERMD1,1,transect,2016-06-24,10:58,658,81,69.1
BARBJERMD1,1,pointcount,2016-06-24,11:02,662,,
BARBJERMD1,1,resight,2016-06-24,11:15,675,,
BARBJERMD1,2,transect,2016-07-01,8:15,495,73.9,70
BARBJERMD1,2,takedown,2016-07-01,8:22,502,,
BARBJERMD1,2,pointcount,2016-07-01,8:27,507,,
BARBJERMD1,3,transect,2016-07-12,8:22,502,73.9,68
BARBJERMD1,3,setup,2016-07-12,8:38,518,,
BARBJERMD1,3,resight,2016-07-12,8:39,519,,
BARBJERMD1,4,transect,2016-07-19,8:49,529,82,70
BARBJERMD1,4,pointcount,2016-07-19,8:55,535,,
BARBJERMD1,4,takedown,2016-07-19,9:08,548,,
BARBJERMD1,5,transect,2016-08-23,10:01,601,77,57
BARBJERMD1,5,pointcount,2016-08-23,10:06,606,,
BARBJERMD1,5,resight,2016-08-23,10:22,622,,
BARBJERMD1,5,setup,2016-08-23,10:24,624,,
BARBJERMD1,6,transect,2016-08-30,9:35,575,80.1,63
BARBJERMD1,6,resight,2016-08-30,9:39,579,,
BARBJERMD1,6,takedown,2016-08-30,10:04,604,,
BEALTOMMD1,1,transect,2016-06-20,8:48,528,75,57.9
BEALTOMMD1,1,pointcount,2016-06-20,8:52,532,,
BEALTOMMD1,1,setup,2016-06-20,9:18,558,,
BEALTOMMD1,1,resight,2016-06-20,9:23,563,,
BEALTOMMD1,2,transect,2016-06-27,11:13,673,79,66.9
BEALTOMMD1,2,takedown,2016-06-27,11:17,677,,
BEALTOMMD1,2,pointcount,2016-06-27,11:24,684,,
BEALTOMMD1,3,transect,2016-07-13,7:02,422,77,73
BEALTOMMD1,3,resight,2016-07-13,7:05,425,,
BEALTOMMD1,3,setup,2016-07-13,7:41,461,,
BEALTOMMD1,4,transect,2016-07-20,9:12,552,75.9,66.9
BEALTOMMD1,4,pointcount,2016-07-20,9:15,555,,
BEALTOMMD1,4,takedown,2016-07-20,9:26,566,,
BEALTOMMD1,5,transect,2016-08-21,10:55,655,82,75
BEALTOMMD1,5,pointcount,2016-08-21,10:58,658,,
BEALTOMMD1,5,resight,2016-08-21,11:10,670,,
BEALTOMMD1,5,setup,2016-08-21,11:36,696,,
BEALTOMMD1,6,transect,2016-08-28,10:17,617,80.1,72
BEALTOMMD1,6,resight,2016-08-28,10:19,619,,
BEALTOMMD1,6,takedown,2016-08-28,10:37,637,,
BLOCDAVMD1,1,transect,2016-06-27,9:35,575,77,66.9
BLOCDAVMD1,1,setup,2016-06-27,9:53,593,,
BLOCDAVMD1,1,pointcount,2016-06-27,9:57,597,,
BLOCDAVMD1,1,resight,2016-06-27,10:09,609,,
BLOCDAVMD1,2,transect,2016-07-04,9:09,549,70,66
BLOCDAVMD1,2,takedown,2016-07-04,9:15,555,,
BLOCDAVMD1,2,resight,2016-07-04,9:18,558,,
BLOCDAVMD1,3,transect,2016-07-13,11:00,660,84,75
BLOCDAVMD1,3,pointcount,2016-07-13,11:07,667,,
BLOCDAVMD1,3,setup,2016-07-13,11:20,680,,
BLOCDAVMD1,4,transect,2016-07-20,6:10,370,70,66.9
BLOCDAVMD1,4,pointcount,2016-07-20,6:17,377,,
BLOCDAVMD1,4,resight,2016-07-20,6:31,391,,
BLOCDAVMD1,4,takedown,2016-07-20,6:55,415,,
