site,visit,cameraID,species,date,time,count,note
BALASUCMD1,1,63,fox,6/29/2016,20:53,1,
BALASUCMD1,1,63,raccoon,6/30/2016,2:48,1,
BALASUCMD1,1,63,fox,6/30/2016,3:10,1,
BALASUCMD1,1,63,fox,6/30/2016,22:17,1,
BALASUCMD1,1,63,fox,7/2/2016,4:48,1,
BALASUCMD1,1,63,raccoon,7/2/2016,5:07,1,
BALASUCMD1,1,63,squirrel,7/2/2016,13:11,1,
BALASUCMD1,1,63,fox,7/3/2016,1:37,1,
BALASUCMD1,1,63,fox,7/3/2016,1:45,1,
BALASUCMD1,1,63,fox,7/3/2016,4:55,1,
BALASUCMD1,1,63,squirrel,7/3/2016,9:57,1,
BALASUCMD1,1,63,raccoon,7/3/2016,22:37,1,
BALASUCMD1,1,63,fox,7/4/2016,1:41,1,
BALASUCMD1,1,63,fox,7/4/2016,3:10,1,
BALASUCMD1,1,63,fox,7/4/2016,4:47,1,
BALASUCMD1,1,63,fox,7/6/2016,3:43,1,
BALASUCMD1,2,51,fox,7/17/2016,22:58,1,
BALASUCMD1,2,51,squirrel,7/19/2016,14:00,1,
BALASUCMD1,2,51,fox,7/20/2016,23:00,1,
BALASUCMD1,2,51,fox,7/21/2016,3:08,1,
BALASUCMD1,2,51,squirrel,7/21/2016,14:06,1,
BALASUCMD1,3,55,fox,8/17/2016,0:06,1,
BALASUCMD1,3,55,fox,8/17/2016,3:00,1,
BALASUCMD1,3,55,squirrel,8/18/2016,15:41,1,
BALASUCMD1,3,55,fox,8/19/2016,0:57,1,
BALASUCMD1,3,55,squirrel,8/19/2016,14:16,1,
BALASUCMD1,3,55,squirrel,8/20/2016,12:56,1,
BALASUCMD1,3,55,squirrel,8/20/2016,13:13,1,
BALASUCMD1,3,55,fox,8/21/2016,0:19,1,
BALASUCMD1,3,55,fox,8/21/2016,1:10,1,
BALASUCMD1,3,55,opossum,8/21/2016,2:12,1,
BALASUCMD1,3,55,fox,8/22/2016,1:40,1,
BALASUCMD1,3,55,fox,8/22/2016,4:12,1,
BALASUCMD1,3,55,fox,8/22/2016,4:55,1,
BALASUCMD1,3,55,fox,8/22/2016,21:18,1,
BALASUCMD1,3,55,fox,8/23/2016,1:07,1,
BALASUCMD1,3,55,squirrel,8/23/2016,12:00,1,
BARBJERMD1,1,73,squirrel,6/24/2016,13:56,1,
BARBJERMD1,1,73,squirrel,6/24/2016,15:43,1,
BARBJERMD1,1,73,squirrel,6/24/2016,16:11,1,
BARBJERMD1,1,73,squirrel,6/24/2016,17:56,5,
BARBJERMD1,1,73,squirrel,6/24/2016,18:04,3,
BARBJERMD1,1,73,squirrel,6/24/2016,18:06,2,
BARBJERMD1,1,73,squirrel,6/24/2016,18:54,1,
BARBJERMD1,1,73,fox,6/25/2016,0:13,1,
BARBJERMD1,1,73,fox,6/25/2016,0:33,1,
BARBJERMD1,1,73,raccoon,6/25/2016,2:47,1,
BARBJERMD1,1,73,raccoon,6/25/2016,2:58,1,
BARBJERMD1,1,73,raccoon,6/25/2016,3:42,1,
BARBJERMD1,1,73,squirrel,6/25/2016,7:53,1,
BARBJERMD1,1,73,squirrel,6/25/2016,10:47,1,
BARBJERMD1,1,73,squirrel,6/25/2016,11:52,1,
BARBJERMD1,1,73,squirrel,6/25/2016,11:54,1,
BARBJERMD1,1,73,squirrel,6/25/2016,11:57,1,
BARBJERMD1,1,73,squirrel,6/25/2016,13:15,1,
BARBJERMD1,1,73,squirrel,6/25/2016,13:30,1,
BARBJERMD1,1,73,squirrel,6/25/2016,13:57,1,
BARBJERMD1,1,73,squirrel,6/25/2016,14:04,1,
BARBJERMD1,1,73,squirrel,6/25/2016,14:30,1,
BARBJERMD1,1,73,squirrel,6/25/2016,14:57,1,
BARBJERMD1,1,73,squirrel,6/25/2016,15:00,1,
BARBJERMD1,1,73,squirrel,6/25/2016,15:02,1,
BARBJERMD1,1,73,squirrel,6/25/2016,16:08,2,
BARBJERMD1,1,73,squirrel,6/25/2016,16:17,1,
BARBJERMD1,1,73,squirrel,6/25/2016,16:22,3,
BARBJERMD1,1,73,squirrel,6/25/2016,16:33,2,
BARBJERMD1,1,73,dog,6/25/2016,16:33,1,
BARBJERMD1,1,73,squirrel,6/25/2016,16:35,1,
BARBJERMD1,1,73,squirrel,6/25/2016,16:38,1,
BARBJERMD1,1,73,squirrel,6/25/2016,18:39,1,
BARBJERMD1,1,73,raccoon,6/25/2016,22:02,1,
BARBJERMD1,1,73,raccoon,6/25/2016,23:36,1,
BARBJERMD1,1,73,raccoon,6/26/2016,2:13,1,
BARBJERMD1,1,73,fox,6/26/2016,3:09,1,
BARBJERMD1,1,73,raccoon,6/26/2016,4:06,1,
BARBJERMD1,1,73,raccoon,6/26/2016,4:20,1,
BARBJERMD1,1,73,squirrel,6/26/2016,8:31,1,
BARBJERMD1,1,73,squirrel,6/26/2016,9:07,1,
BARBJERMD1,1,73,squirrel,6/26/2016,9:41,1,
BARBJERMD1,1,73,squirrel,6/26/2016,10:03,1,
BARBJERMD1,1,73,squirrel,6/26/2016,10:53,1,
BARBJERMD1,1,73,squirrel,6/26/2016,11:23,1,
BARBJERMD1,1,73,squirrel,6/26/2016,11:32,1,
BARBJERMD1,1,73,squirrel,6/26/2016,11:39,3,
BARBJERMD1,1,73,squirrel,6/26/2016,12:52,1,
BARBJERMD1,1,73,squirrel,6/26/2016,15:26,1,
BARBJERMD1,1,73,squirrel,6/26/2016,15:31,1,
BARBJERMD1,1,73,squirrel,6/26/2016,15:34,1,
BARBJERMD1,1,73,squirrel,6/26/2016,15:47,1,
BARBJERMD1,1,73,squirrel,6/26/2016,15:49,1,
BARBJERMD1,1,73,squirrel,6/26/2016,16:38,1,
BARBJERMD1,1,73,squirrel,6/26/2016,17:27,1,
BARBJERMD1,1,73,squirrel,6/26/2016,17:29,1,
BARBJERMD1,1,73,squirrel,6/26/2016,17:32,1,
BARBJERMD1,1,73,squirrel,6/26/2016,18:00,1,
BARBJERMD1,1,73,squirrel,6/26/2016,18:02,1,
BARBJERMD1,1,73,squirrel,6/26/2016,18:09,1,
BARBJERMD1,1,73,squirrel,6/26/2016,18:13,3,
BARBJERMD1,1,73,squirrel,6/26/2016,18:15,1,
