"site","abund","SE","lower","upper","lon","lat","fips","can","imp","medianIncome","hDensity","age","marred","eduHS"
"BALASUCMD1",1.0905117091304,0.341242850364034,0.590586337936766,2.01372103321398,-76.9541990076624,39.0064682611147,24033807301,65.48449142,14.83659224,61146,0.000927946994909713,27.8,0.411591355599214,0.929236499068901
"BARBJERMD1",1.08772669024517,0.340741855257885,0.588687429007469,2.00992816816722,-76.4631086824912,39.113122209328,24003731303,38.09019673,14.53846335,107517,0.000375665121876874,46.4,0.69937106918239,0.944512195121951
"BEALTOMMD1",1.02800298152778,0.335308184299734,0.542854095284457,1.94970299719998,-76.7946731097776,38.974053618914,24033800408,65.96875845,8.157654453,109022,0.000645840821377436,37.3,0.53516933382955,0.940178991992463
"BLOCDAVMD1",1.12514407470428,0.349389553995298,0.612199746477853,2.06794147105498,-77.0045115539156,38.975700455311,24031701701,52.86125445,18.61439418,71958,0.00346310674188683,42.7,0.441256300891819,0.906848149723522
"BRIGKIMMD1",1.25491994920284,0.449601447478733,0.624772541853656,2.54492626543778,-76.5480222494896,39.1266584026691,24003731204,6.773998588,47.5602789,83274,0.000529413403478437,33.5,0.546155590836924,0.943603851444292
"BROWANNDC1",1.2122394370893,0.622527018513705,0.48796145516258,3.77950321334111,-77.0533363721153,38.9000573371157,11001005600,0.098821132,73.30393319,64446,0.0132550119078601,27.7,0.151646158962421,0.971167174937621
"BROWANNMD1",1.01667040866138,0.335271133650262,0.533342416433363,1.94279421381283,-76.4850169465092,38.9625652431145,24003706302,10.17267325,6.921703622,86964,0.00240920710054225,52.9,0.508565989847716,0.960632570659489
"BUISNORVA1",0.985556179541841,0.33620123881192,0.506885435883236,1.9308789617969,-77.264378567856,38.7415669519317,51059492202,74.63208501,3.421736318,183547,0.00117273892750162,44.7,0.723733233979136,0.958712541620422
"BURDROBVA1",1.19239452950259,0.374894662707412,0.643938750070973,2.20845687817145,-77.4181144800985,38.8651568521348,51059491502,18.32253748,26.95895614,187222,0.00118148080655065,40,0.717146671752813,0.942261619549593
"CAMPGLOMD1",1.04996168388579,0.336189918169521,0.560711195377623,1.96714675467766,-76.9287883268322,39.0623673050514,24033807407,43.02058961,10.51684714,86815,0.00107872519711002,32.6,0.474068231118123,0.872680291284942
"CAMPROSMD1",1.01457202843198,0.335290820060224,0.531566889213801,1.94166824541932,-77.0225525837239,39.0141959067996,24031702302,68.94950162,6.690999457,73367,0.00281705078839913,35.2,0.489185185185185,0.877454299255247
"CLARCOLDC1",1.22546920693434,0.553904668306258,0.527777713796285,3.11478077432569,-77.0475359868677,38.9197025156491,11001004001,2.679418486,63.33814942,106227,0.0130268057962465,38.4,0.29537802265075,0.985719030222517
"COLSKATMD1",1.08319101608309,0.339975447715455,0.585544152407626,2.00393666216405,-76.8442151599822,39.1565321514856,24027606804,55.65338119,14.05393675,114271,0.00108348812126646,38.3,0.650256006301694,0.988606485539001
"EGANMARMD1",1.20726846289714,0.382406645850864,0.648998310192398,2.2463973726236,-77.1096766185884,38.947608369891,24031705702,25.89846216,29.23324761,173646,0.00179392454304891,46.3,0.664333624963546,0.992058239576439
"FARYSIMMD1",1.24410341321684,0.408395528763179,0.654204814913885,2.36893992400874,-77.0176992560151,38.9889073104869,24031702401,20.51843583,37.24653924,128882,0.00264519948814912,42.7,0.593333333333333,0.946927374301676
"FISHFERVA1",1.10514082719227,0.344253973753793,0.600167551927079,2.03505020958793,-77.1318150347701,38.9128232508679,51013100300,33.96080522,16.41336765,226645,0.00139001772894157,41.5,0.611813512445674,0.9831867563373
"GECACARVA1",1.18710635512255,0.37241751038394,0.641939393646184,2.19568586113271,-77.1225716009195,38.8847537966433,51013100700,27.43229868,26.20836622,88533,0.00315145965396496,35.5,0.555088088351302,0.955465587044534
"JACOMERMD1",1.23687981118089,0.401541228559642,0.654883235726495,2.33793815282215,-77.2043849507613,39.084150839967,24031701221,18.71693432,35.1344684,123643,0.00158077797274686,40.4,0.606440071556351,0.959651035986914
"KESTSABDC1",1.25561177258813,0.442044091504998,0.632096472266865,2.51275060712395,-77.0470599057996,38.9228013855518,11001004001,17.81358612,46.01769004,106227,0.0130268057962465,38.4,0.29537802265075,0.985719030222517
"KEYESUSMD1",0.967998917281034,0.337091252178552,0.492173132409059,1.9285753241171,-77.3079232199463,39.0903092861997,24031700604,64.01294036,1.348740725,172627,0.000157804327226614,45.6,0.745252253980433,0.964028776978417
"LANDCELVA1",1.10189337973662,0.343530648281949,0.598097919941563,2.0301132632301,-77.2409740980646,38.8821441310748,51059460600,38.44345769,16.06148664,151932,0.00145924514082316,41.3,0.59219968798752,0.928122819260293
"LEONTESDC1",1.23607523188271,0.519364550695584,0.556028771384841,2.88822429579239,-77.0569116510095,38.934828003419,11001001302,9.400422031,58.55267795,84758,0.0047934846278881,35.2,0.293337019629527,0.998441639395356
"MANNJANDC1",1.01641915073309,0.335273081676687,0.533130007285671,1.94265688589056,-77.0575403477092,38.9725246018463,11001001500,60.19210468,6.894112475,193233,0.0012943166355961,46.7,0.651242502142245,0.977546296296296
"MCDOELIVA1",1.23216734348055,0.397829339926497,0.654599079838063,2.32075753586027,-77.0787779794571,38.7929788624742,51059420600,18.54713354,33.98009568,92292,0.00325951393315165,35.9,0.470069966312516,0.85875533862111
"MOLIKARMD1",1.243188283069,0.407412864934357,0.654399395175785,2.36455114272155,-76.5350809983348,38.7039618017231,24009860401,8.527011599,36.94675413,85139,0.000540981780101032,36.5,0.507870430597112,0.926871552403467
"MORRCHRVA1",0.959034452596913,0.337562187193928,0.484831159548376,1.92861382066553,-77.2989499001777,39.0361218098143,51059480100,40.52244712,0.253957472,237656,0.000122611807140638,48.1,0.663575042158516,0.978835978835979
"MOSMCARMD1",1.03255103492442,0.335397542015334,0.546624134907743,1.95287285356661,-76.46771668999,39.0927183697406,24003731202,28.26881615,8.649559101,95029,0.000406236300174248,46.7,0.67585601404741,0.937092833876222
"NEWBCARVA1",0.956994035899874,0.337666915151415,0.483180588039164,1.92873815342902,-77.3272162411491,38.8893852637741,51059461201,92.1379243,0.000842028,191471,0.00045242590414026,45.3,0.755102040816326,0.98785046728972
"OBRICHRMD1",1.18887087942469,0.373233913022872,0.642617118642524,2.19990978366755,-76.924433,39.013183,24033806900,29.381,26.456,74977,0.00233923854114035,36,0.413595166163142,0.79812030075188
"ONTAHOUDC1",1.2375192064984,0.514812739357048,0.56012769808471,2.86195856623415,-77.0425825905497,38.9255468779107,11001003900,3.203243752,57.91625032,76563,0.0115004870856481,34,0.251689189189189,0.98580121703854
