"","site","date","day","tempHigh","tempLow","dewLow","dewHigh"
"1","BALASUCMD1","2016-06-29",1,82,68,55,66
"2","BALASUCMD1","2016-06-30",2,84,65,53,67
"3","BALASUCMD1","2016-07-01",3,88,71,66,74
"4","BALASUCMD1","2016-07-02",4,80,70,50,70
"5","BALASUCMD1","2016-07-03",5,74,64,54,66
"6","BALASUCMD1","2016-07-04",6,74,68,65,73
"7","BALASUCMD1","2016-07-05",7,91,74,70,76
"8","BALASUCMD1","2016-07-15",8,94,76,62,70
"9","BALASUCMD1","2016-07-16",9,93,72,66,71
"10","BALASUCMD1","2016-07-17",10,93,71,61,72
"11","BALASUCMD1","2016-07-18",11,95,73,66,76
"12","BALASUCMD1","2016-07-19",12,92,70,63,73
"13","BALASUCMD1","2016-07-20",13,89,70,59,70
"14","BALASUCMD1","2016-07-21",14,90,71,62,70
"15","BALASUCMD1","2016-08-16",15,97,75,72,77
"16","BALASUCMD1","2016-08-17",16,95,72,68,74
"17","BALASUCMD1","2016-08-18",17,92,74,67,73
"18","BALASUCMD1","2016-08-19",18,92,74,60,72
"19","BALASUCMD1","2016-08-20",19,91,74,62,71
"20","BALASUCMD1","2016-08-21",20,91,74,62,76
"21","BALASUCMD1","2016-08-22",21,85,69,56,63
"22","BARBJERMD1","2016-06-24",1,86,71,67,72
"23","BARBJERMD1","2016-06-25",2,85,72,57,66
"24","BARBJERMD1","2016-06-26",3,86,66,49,64
"25","BARBJERMD1","2016-06-27",4,87,68,62,72
"26","BARBJERMD1","2016-06-28",5,87,69,64,75
"27","BARBJERMD1","2016-06-29",6,82,68,55,66
"28","BARBJERMD1","2016-06-30",7,84,65,53,67
"29","BARBJERMD1","2016-07-12",8,87,73,62,71
"30","BARBJERMD1","2016-07-13",9,90,75,68,76
"31","BARBJERMD1","2016-07-14",10,98,75,68,76
"32","BARBJERMD1","2016-07-15",11,94,76,62,70
"33","BARBJERMD1","2016-07-16",12,93,72,66,71
"34","BARBJERMD1","2016-07-17",13,93,71,61,72
"35","BARBJERMD1","2016-07-18",14,95,73,66,76
"36","BARBJERMD1","2016-08-23",15,84,67,56,63
"37","BARBJERMD1","2016-08-24",16,86,67,60,66
"38","BARBJERMD1","2016-08-25",17,89,71,63,77
"39","BARBJERMD1","2016-08-26",18,95,77,65,75
"40","BARBJERMD1","2016-08-27",19,92,77,68,74
"41","BARBJERMD1","2016-08-28",20,90,74,59,72
"42","BARBJERMD1","2016-08-29",21,94,72,66,72
"43","BEALTOMMD1","2016-06-20",1,91,68,55,67
"44","BEALTOMMD1","2016-06-21",2,91,72,61,72
"45","BEALTOMMD1","2016-06-22",3,86,69,50,69
"46","BEALTOMMD1","2016-06-23",4,82,70,67,71
"47","BEALTOMMD1","2016-06-24",5,86,71,67,72
"48","BEALTOMMD1","2016-06-25",6,85,72,57,66
"49","BEALTOMMD1","2016-06-26",7,86,66,49,64
"50","BEALTOMMD1","2016-07-13",8,90,75,68,76
"51","BEALTOMMD1","2016-07-14",9,98,75,68,76
"52","BEALTOMMD1","2016-07-15",10,94,76,62,70
