"site","tCats","cCats","mCats"
"BALASUCMD1",6.35731062774464,0.519896427032912,0
"BARBJERMD1",3.84364276661821,1.17724031551604,0
"BEALTOMMD1",2.04155605319298,0.507491669118613,1
"BLOCDAVMD1",7.40770264578584,0.866295187816828,6
"BRIGKIMMD1",4.78398318196337,0.799551542745972,2
"BROWANNDC1",0.133288592688953,0.613606420515717,1
"BROWANNMD1",2.22292232836711,0.892671970894685,0
"BUISNORVA1",0.524586110315489,0.311223898391709,0
"BURDROBVA1",3.14244196308507,1.08655211392738,0
"CAMPGLOMD1",3.30337159708489,1.1003894219419,2
"CAMPROSMD1",2.4889256695589,0.43416102929406,2
"CLARCOLDC1",0.551081344655844,0.684903227338606,0
"COLSKATMD1",3.44467923025781,0.789194037603827,0
"EGANMARMD1",3.73010787902368,1.19734097920758,3
"FARYSIMMD1",5.38913704958183,1.12709293239975,0
"FISHFERVA1",1.2944606964001,1.21267772119161,2
"GECACARVA1",8.57749395579969,1.20891144530589,3
"GERYERIMD1",4.96722333929914,NA,1
"JACOMERMD1",6.01586952462411,1.09428306538592,0
"KESTSABDC1",4.26267278378616,1.07630068801339,1
"KEYESUSMD1",0.438279391704815,0.558326788320686,0
"LANDCELVA1",2.73140618334825,1.17292179368382,1
"LEONTESDC1",1.40489380183862,0.871873288747661,0
"MANNJANDC1",0.738717923756948,0.662208415206768,4
"MCDOELIVA1",8.49627663841409,1.09097781399238,3
"MISSEDDC1",0.712895809236075,NA,2
"MOLIKARMD1",8.54874897155407,0.848057137717568,9
"MORRCHRVA1",0.190107161841083,1.1436625504969,0
"MOSMCARMD1",2.49203803650366,1.21353841379723,2
"NEWBCARVA1",0.294826946147406,0.0833684547273075,0
"OBRICHRMD1",9.92254154844851,1.21781948046324,8
"OLONMARDC1",4.25045453567562,NA,0
"ONTAHOUDC1",1.66705275389508,0.699539327061393,1
"PADORAMVA1",4.21312558618564,1.00151006590294,0
"PERRCHRMD1",0.53478564561289,0.0458023422321465,0
"PHARAIMMD1",0.593636425028961,0.16422438040713,0
"PIROELADC1",3.21006437395121,1.01442167664409,1
"REITBOBMD1",8.38848347313004,1.19956114138213,1
"ROHRSALMD1",0.626763835666968,0.635391735136597,3
"SALOSHEMD1",5.94492200235464,1.06835937761125,0
"SCHLROBMD1",0.664650272775306,0.664284284442208,2
"SILLSCOMD1",8.88645034886153,1.09652830675232,4
"STANJEFMD1",0.312984671064617,0.580577520268038,1
"STEWBETMD1",2.9852405429614,1.09816026392416,0
"STUECHRVA2",3.27177378855244,1.20861290996857,0
"STURCARMD1",13.1353908131842,0.880433810057786,2
"TATEJUAMD1",4.51447183666205,1.13140374231096,3
"VERSBETMD1",1.14584840485628,0.823382091872881,0
"VONGJENMD1",2.15221859039455,1.15538708577333,1
"WILLTERMD1",7.43098345798131,1.21088435744234,2
"WOLFAMYDC1",0.0173742113579714,NA,0
"WOLFKARDC1",4.29912960104573,NA,0
"ZAMBTRAMD1",2.41466393311859,1.16678145845885,3
