site,nYear,nBanded,nReE,nPartRs,propReE,propPartRs,imp,partRank,reeRank,impClass
KNIGSALVA1,7,34,9,8,0.264705882,0.235294118,0,0.983471074,0.900826446,0
VERSBETMD1,13,41,10,9,0.243902439,0.219512195,2.339798149,0.975206612,0.876033058,0
KEYESUSMD1,9,48,14,10,0.291666667,0.208333333,1.348740725,0.966942149,0.94214876,0
BUISNORVA1,9,60,16,12,0.266666667,0.2,3.421736318,0.958677686,0.917355372,0
PERRCHRMD1,15,42,11,7,0.261904762,0.166666667,0,0.921487603,0.892561983,0
SCHLROBMD1,13,103,22,16,0.213592233,0.155339806,0,0.900826446,0.79338843,0
NEWBCARVA1,9,57,14,8,0.245614035,0.140350877,0.000842028,0.884297521,0.884297521,0
PERNMIKMD1,14,29,6,4,0.206896552,0.137931034,0,0.876033058,0.768595041,0
MORRCHRVA1,8,42,10,5,0.238095238,0.119047619,0.253957472,0.859504132,0.867768595,0
FREYFREMD1,15,101,24,12,0.237623762,0.118811881,3.625232352,0.851239669,0.859504132,0
PHARAIMMD1,8,36,4,4,0.111111111,0.111111111,0.654714774,0.826446281,0.330578512,0
SOLIAPRMD1,6,26,5,2,0.192307692,0.076923077,0.108315702,0.760330579,0.714876033,0
GOCHJOAMD1,15,80,10,6,0.125,0.075,0,0.747933884,0.44214876,0
STANJEFMD1,15,99,12,7,0.121212121,0.070707071,3.963088948,0.719008264,0.41322314,0
SANFCARMD1,13,44,10,3,0.227272727,0.068181818,4.114732694,0.710743802,0.834710744,0
ROHRSALMD1,14,63,13,4,0.206349206,0.063492063,0.463756779,0.694214876,0.760330579,0
ODELVINMD2,7,41,5,2,0.12195122,0.048780488,0.704427585,0.652892562,0.421487603,0
GARDVALMD1,11,62,8,3,0.129032258,0.048387097,1.549113538,0.640495868,0.47107438,0
SUBRSTEMD1,7,26,5,1,0.192307692,0.038461538,3.386990995,0.611570248,0.714876033,0
GALLTERMD1,14,56,8,2,0.142857143,0.035714286,0.056048045,0.595041322,0.541322314,0
LINDHANMD1,7,37,8,1,0.216216216,0.027027027,2.315635377,0.541322314,0.801652893,0
WILLTINVA1,8,37,3,1,0.081081081,0.027027027,1.37207037,0.541322314,0.231404959,0
ASSMCARMD1,8,40,11,1,0.275,0.025,1.582665889,0.52892562,0.933884298,0
GOROCARDC1,11,87,8,2,0.091954023,0.022988506,4.292882931,0.520661157,0.26446281,0
CAUSSUSMD1,12,49,6,1,0.12244898,0.020408163,0.305257837,0.512396694,0.429752066,0
SINGDADMD1,5,50,5,1,0.1,0.02,0.460874871,0.504132231,0.285123967,0
ANDRKENVA1,12,33,1,0,0.03030303,0,0.628735206,0.247933884,0.033057851,0
BAUGSHEVA1,2,6,0,0,0,0,0.57900393,0.247933884,0.012396694,0
BURNNANMD1,13,89,7,0,0.078651685,0,2.079571435,0.247933884,0.20661157,0
COLALISMD1,12,41,2,0,0.048780488,0,0,0.247933884,0.074380165,0
DALEELIMD1,13,72,6,0,0.083333333,0,0,0.247933884,0.239669421,0
DAVIKELVA1,7,33,2,0,0.060606061,0,0.026484412,0.247933884,0.123966942,0
DECHKIMMD2,7,27,3,0,0.111111111,0,1.426978112,0.247933884,0.330578512,0
DELUKARVA1,7,38,5,0,0.131578947,0,4.758247103,0.247933884,0.487603306,0
HOROBONVA1,7,25,3,0,0.12,0,0,0.247933884,0.404958678,0
LANGANKVA1,7,32,4,0,0.125,0,3.100548097,0.247933884,0.44214876,0
MAZUJENMD1,8,42,6,0,0.142857143,0,0.946898391,0.247933884,0.541322314,0
MCCOCHRMD1,12,68,4,0,0.058823529,0,0,0.247933884,0.111570248,0
MEGOPATMD2,7,15,3,0,0.2,0,0,0.247933884,0.747933884,0
MILLLORVA1,7,14,2,0,0.142857143,0,0,0.247933884,0.541322314,0
MULLJOYVA1,7,41,7,0,0.170731707,0,3.47E-07,0.247933884,0.652892562,0
NAYLMICMD2,6,17,1,0,0.058823529,0,1.655834408,0.247933884,0.111570248,0
SCHIMARMD1,8,50,4,0,0.08,0,1.903996474,0.247933884,0.223140496,0
SOLLCHRMD1,7,38,4,0,0.105263158,0,4.540594746,0.247933884,0.305785124,0
WIKACORMD1,14,54,7,0,0.12962963,0,2.108181542,0.247933884,0.479338843,0
COLSKATMD1,15,61,21,16,0.344262295,0.262295082,14.05393675,0.991735537,0.991735537,10
STEWBETMD1,9,56,18,11,0.321428571,0.196428571,10.65494417,0.950413223,0.966942149,10
BEALTOMMD1,13,44,10,8,0.227272727,0.181818182,8.157654453,0.933884298,0.834710744,10
CAMPGLOMD1,14,58,11,9,0.189655172,0.155172414,10.51684714,0.892561983,0.702479339,10
MANNJANDC1,15,82,19,9,0.231707317,0.109756098,6.894112475,0.818181818,0.851239669,10
BARBJERMD1,15,123,22,12,0.178861789,0.097560976,14.53846335,0.801652893,0.67768595,10
MOSMCARMD1,14,62,12,6,0.193548387,0.096774194,8.649559101,0.79338843,0.73553719,10
BALASUCMD1,8,40,4,3,0.1,0.075,14.83659224,0.747933884,0.285123967,10
CAMPROSMD1,14,94,11,7,0.117021277,0.074468085,6.690999457,0.73553719,0.380165289,10
BROWANNMD1,10,27,4,2,0.148148148,0.074074074,6.921703622,0.727272727,0.570247934,10
JEWELIBMD1,12,38,3,2,0.078947368,0.052631579,12.23708286,0.669421488,0.214876033,10
HUNTDAVMD2,14,62,9,3,0.14516129,0.048387097,6.971539796,0.640495868,0.561983471,10
EDEREDWVA1,14,69,11,3,0.15942029,0.043478261,11.27784559,0.628099174,0.611570248,10
LIEBJUDMD1,9,25,8,1,0.32,0.04,14.31421664,0.619834711,0.958677686,10
EGGELESVA1,7,33,3,1,0.090909091,0.03030303,14.63173332,0.574380165,0.256198347,10
EVANMICMD1,14,80,9,1,0.1125,0.0125,7.48205994,0.495867769,0.347107438,10
BLANBETMD1,13,53,3,0,0.056603774,0,10.92658228,0.247933884,0.099173554,10
DAVIALIVA1,9,50,8,0,0.16,0,9.430562294,0.247933884,0.619834711,10
GOMEKARMD1,12,42,2,0,0.047619048,0,7.494329123,0.247933884,0.066115702,10
JAKOELVVA1,7,28,2,0,0.071428571,0,9.858704585,0.247933884,0.173553719,10
