site,impClass
VERSBETMD1,0
KEYESUSMD1,0
BUISNORVA1,0
PERRCHRMD1,0
SCHLROBMD1,0
NEWBCARVA1,0
PERNMIKMD1,0
MORRCHRVA1,0
FREYFREMD1,0
PHARAIMMD1,0
COLSKATMD1,10
STEWBETMD1,10
BEALTOMMD1,10
CAMPGLOMD1,10
MANNJANDC1,10
BARBJERMD1,10
MOSMCARMD1,10
BALASUCMD1,10
CAMPROSMD1,10
BROWANNMD1,10
TATEJUAMD1,20
VONGJENMD1,20
SALOSHEMD1,20
LANDCELVA1,20
FISHFERVA1,20
BOONGREMD1,20
PADORAMVA1,20
ZAMBTRAMD1,20
BLOCDAVMD1,20
REITBOBMD1,20
STURCARMD1,30
GECACARVA1,30
OBRICHRMD1,30
MCDOELIVA1,30
BURDROBVA1,30
EGANMARMD1,30
GERYERIMD1,30
OLONMARDC1,30
SILLSCOMD1,40
FARYSIMMD1,40
WILLTERMD1,40
MOLIKARMD1,40
JACOMERMD1,40
BRIGKIMMD1,50
KESTSABDC1,50
PIROELADC1,50
WOLFKARDC1,50
LEONTESDC1,60
MISSEDDC1,60
CLARCOLDC1,60
ONTAHOUDC1,60
BROWANNDC1,70
WOLFAMYDC1,80
