"bandNumber","site","bandDate","age","sex","mass","wing","species","bandYear","bci","imp","can","imp2","can2","cCats","tCats","ch"
"1141-05438","STANJEFMD1",2001-06-18,"AHY","M",21.1,63.5,"CARW",2001,-0.926979695639715,3.963088948,63.17800932,15.7060740097597,3991.46086163801,0.333333333333333,0,"01100000000000000"
"1141-05439","BEALTOMMD1",2001-06-19,"AHY","M",20.6,59,"CARW",2001,0.356616650823118,8.157654453,65.96875845,66.5473261745507,4351.87709143445,0.333333333333333,0,"01000000000000000"
"1141-05443","MANNJANDC1",2001-06-22,"AHY","M",20,60,"CARW",2001,-0.298792447327104,6.894112475,60.19210468,47.5287868179506,3623.08946580808,0.666666666666667,0.166666666666667,"01000000100000000"
"1141-05444","MANNJANDC1",2001-06-22,"AHY","M",20.9,66,"SOSP",2001,-0.117898550889777,6.894112475,60.19210468,47.5287868179506,3623.08946580808,0.666666666666667,0.166666666666667,"01000000000000000"
"1141-05445","MANNJANDC1",2001-06-22,"AHY","F",18.8,59,"CARW",2001,-0.550294184964253,6.894112475,60.19210468,47.5287868179506,3623.08946580808,0.666666666666667,0.166666666666667,"01100000000000000"
"1141-05570","ONTAHOUDC1",2001-05-15,"AHY","M",20.3,65,"SOSP",2001,-0.182261019643986,57.91625032,3.203243752,3354.2920511289,10.260770534727,0.333333333333333,0,"01000000000000000"
"1141-05571","REITBOBMD1",2001-05-15,"AHY","M",20.6,67,"SOSP",2001,-0.564591567709078,20.05853178,26.15622598,402.34469716927,684.148157516827,0,0.833333333333333,"01000100000000000"
"1141-05572","REITBOBMD1",2001-05-15,"AHY","F",20.8,59,"SOSP",2001,2.1055909350043,20.05853178,26.15622598,402.34469716927,684.148157516827,0,0.833333333333333,"01100000000000000"
"1141-05573","TATEJUAMD1",2001-05-16,"AHY","M",24,61,"CARW",2001,1.24370605683143,15.26069222,41.28186902,232.888727033569,1704.19270978444,1,0.166666666666667,"01111000000000000"
"1141-05574","TATEJUAMD1",2001-05-16,"AHY","F",23.4,57,"CARW",2001,2.66263860418956,15.26069222,41.28186902,232.888727033569,1704.19270978444,1,0.166666666666667,"01100000000000000"
"1141-05577","CAMPROSMD1",2001-05-23,"AHY","M",20.4,63,"CARW",2001,-1.07994553150424,6.690999457,68.94950162,44.7694737335743,4754.03377364638,0,0,"01110000000000000"
"1141-05578","CAMPROSMD1",2001-05-23,"SY","M",19.9,65,"SOSP",2001,-0.417896999417061,6.690999457,68.94950162,44.7694737335743,4754.03377364638,0,0,"01000000000000000"
"1141-05582","CAMPGLOMD1",2001-05-31,"AHY","M",20.2,60,"CARW",2001,-0.201555631546274,10.51684714,43.02058961,110.604073766126,1850.77113039204,0.333333333333333,0.166666666666667,"01000000000000000"
"1141-05593","BARBJERMD1",2001-06-08,"AHY","M",20,59,"CARW",2001,0.0543130388939937,14.53846335,38.09019673,211.366916579293,1450.8630869301,0,0.166666666666667,"01000000000000000"
"1141-05594","BARBJERMD1",2001-06-08,"AHY","M",21.5,67,"SOSP",2001,-0.0588354568898304,14.53846335,38.09019673,211.366916579293,1450.8630869301,0,0.166666666666667,"01100000000000000"
"1141-05597","BEALTOMMD1",2001-06-12,"AHY","M",19.7,60,"CARW",2001,-0.444647670998349,8.157654453,65.96875845,66.5473261745507,4351.87709143445,0.333333333333333,0,"01110000000000000"
"1141-05601","FARYSIMMD1",2001-05-23,"AHY","F",21.8,67,"SOSP",2001,0.109749913383253,37.24653924,20.51843583,1387.30468535686,421.006208909828,0.333333333333333,0.166666666666667,"01000000000000000"
"1141-05602","FARYSIMMD1",2001-05-23,"AHY","M",20.5,67,"SOSP",2001,-0.620786691133442,37.24653924,20.51843583,1387.30468535686,421.006208909828,0.333333333333333,0.166666666666667,"01100000000000000"
"1141-05609","OBRICHRMD1",2001-05-31,"AHY","M",22.6,60.5,"CARW",2001,0.773455750264351,26.456,29.381,699.919936,863.243161,0.333333333333333,1.5,"01110000000000000"
"1141-05610","OBRICHRMD1",2001-05-31,"AHY","M",22.7,70,"SOSP",2001,-0.225105804741912,26.456,29.381,699.919936,863.243161,0.333333333333333,1.5,"01100000000000000"
"1141-05611","BLOCDAVMD1",2001-06-02,"AHY","M",23.1,62,"CARW",2001,0.453390670645472,18.61439418,52.86125445,346.495670688418,2794.31222202764,0,1.33333333333333,"01100000000000000"
"1141-05612","BLOCDAVMD1",2001-06-02,"AHY","M",14,67.5,"SOSP",2001,NA,18.61439418,52.86125445,346.495670688418,2794.31222202764,0,1.33333333333333,"01000000000000000"
"1141-05633","CAMPGLOMD1",2001-06-25,"AHY","M",21.2,61,"CARW",2001,-0.07068161943009,10.51684714,43.02058961,110.604073766126,1850.77113039204,0.333333333333333,0.166666666666667,"01100000000000000"
"1141-05649","REITBOBMD1",2001-08-22,"AHY","U",19.4,60,"CARW",2001,-0.590502894669596,20.05853178,26.15622598,402.34469716927,684.148157516827,0,0.833333333333333,"01000000000000000"
