"site","lon","lat","fips","can","imp","medianIncome","hDensity","age","eduHS","eduC","marred"
"BALASUCMD1",-76.9541990076624,39.0064682611147,"24033807301",65.48449142,14.83659224,61146,0.000927946994909713,27.8,0.174581005586592,0.173184357541899,0.411591355599214
"BARBJERMD1",-76.4631086824912,39.113122209328,"24003731303",38.09019673,14.53846335,107517,0.000375665121876874,46.4,0.292886178861789,0.26239837398374,0.69937106918239
"BEALTOMMD1",-76.7946731097776,38.974053618914,"24033800408",65.96875845,8.157654453,109022,0.000645840821377436,37.3,0.203485633537447,0.274846914743288,0.53516933382955
"BLOCDAVMD1",-77.0045115539156,38.975700455311,"24031701701",52.86125445,18.61439418,71958,0.00346310674188683,42.7,0.146746065504041,0.233943002977456,0.441256300891819
"BRIGKIMMD1",-76.5480222494896,39.1266584026691,"24003731204",6.773998588,47.5602789,83274,0.000529413403478437,33.5,0.359284731774415,0.172764786795048,0.546155590836924
"BROWANNDC1",-77.0533363721153,38.9000573371157,"11001005600",0.098821132,73.30393319,64446,0.0132550119078601,27.7,0.039090657055725,0.323814804546715,0.151646158962421
"BROWANNMD1",-76.4850169465092,38.9625652431145,"24003706302",10.17267325,6.921703622,86964,0.00240920710054225,52.9,0.0921938088829071,0.417900403768506,0.508565989847716
"BUISNORVA1",-77.264378567856,38.7415669519317,"51059492202",74.63208501,3.421736318,183547,0.00117273892750162,44.7,0.08834628190899,0.313429522752497,0.723733233979136
"BURDROBVA1",-77.4181144800985,38.8651568521348,"51059491502",18.32253748,26.95895614,187222,0.00118148080655065,40,0.0828941063727839,0.333732630570196,0.717146671752813
"CAMPGLOMD1",-76.9287883268322,39.0623673050514,"24033807407",43.02058961,10.51684714,86815,0.00107872519711002,32.6,0.175945501526897,0.289405684754522,0.474068231118123
"CAMPROSMD1",-77.0225525837239,39.0141959067996,"24031702302",68.94950162,6.690999457,73367,0.00281705078839913,35.2,0.118144888287068,0.22241029113067,0.489185185185185
"CLARCOLDC1",-77.0475359868677,38.9197025156491,"11001004001",2.679418486,63.33814942,106227,0.0130268057962465,38.4,0.0159415476585852,0.398206575888409,0.29537802265075
"COLSKATMD1",-76.8442151599822,39.1565321514856,"24027606804",55.65338119,14.05393675,114271,0.00108348812126646,38.3,0.0740578439964943,0.312007011393514,0.650256006301694
"EGANMARMD1",-77.1096766185884,38.947608369891,"24031705702",25.89846216,29.23324761,173646,0.00179392454304891,46.3,0.0304434149569821,0.271674387822634,0.664333624963546
