"bandNumber","site","date","age","sex","mass","wing","species"
"1141-05438","STANJEFMD1","2001-06-18","AHY","M",21.1,63.5,"CARW"
"1141-05439","BEALTOMMD1","2001-06-19","AHY","M",20.6,59,"CARW"
"1141-05443","MANNJANDC1","2001-06-22","AHY","M",20,60,"CARW"
"1141-05444","MANNJANDC1","2001-06-22","AHY","M",20.9,66,"SOSP"
"1141-05445","MANNJANDC1","2001-06-22","AHY","F",18.8,59,"CARW"
"1141-05570","ONTAHOUDC1","2001-05-15","AHY","M",20.3,65,"SOSP"
"1141-05571","REITBOBMD1","2001-05-15","AHY","M",20.6,67,"SOSP"
"1141-05572","REITBOBMD1","2001-05-15","AHY","F",20.8,59,"SOSP"
"1141-05573","TATEJUAMD1","2001-05-16","AHY","M",24,61,"CARW"
"1141-05574","TATEJUAMD1","2001-05-16","AHY","F",23.4,57,"CARW"
"1141-05577","CAMPROSMD1","2001-05-23","AHY","M",20.4,63,"CARW"
"1141-05578","CAMPROSMD1","2001-05-23","SY","M",19.9,65,"SOSP"
"1141-05582","CAMPGLOMD1","2001-05-31","AHY","M",20.2,60,"CARW"
"1141-05593","BARBJERMD1","2001-06-08","AHY","M",20,59,"CARW"
"1141-05594","BARBJERMD1","2001-06-08","AHY","M",21.5,67,"SOSP"
"1141-05597","BEALTOMMD1","2001-06-12","AHY","M",19.7,60,"CARW"
"1141-05601","FARYSIMMD1","2001-05-23","AHY","F",21.8,67,"SOSP"
"1141-05602","FARYSIMMD1","2001-05-23","AHY","M",20.5,67,"SOSP"
"1141-05609","OBRICHRMD1","2001-05-31","AHY","M",22.6,60.5,"CARW"
"1141-05610","OBRICHRMD1","2001-05-31","AHY","M",22.7,70,"SOSP"
"1141-05611","BLOCDAVMD1","2001-06-02","AHY","M",23.1,62,"CARW"
"1141-05612","BLOCDAVMD1","2001-06-02","AHY","M",14,67.5,"SOSP"
"1141-05633","CAMPGLOMD1","2001-06-25","AHY","M",21.2,61,"CARW"
"1141-05649","REITBOBMD1","2001-08-22","AHY","U",19.4,60,"CARW"
"1141-05683","COLSKATMD1","2002-04-26","AHY","F",19,57.5,"CARW"
"1141-05699","BARBJERMD1","2002-05-20","AHY","M",20.9,66,"SOSP"
"1141-05702","PERRCHRMD1","2000-04-28","ASY","M",23.6,61,"CARW"
"1141-05711","TATEJUAMD1","2000-06-01","U","F",20.8,58.5,"CARW"
"1141-05712","MOSMCARMD1","2000-06-03","AHY","M",21.9,62,"CARW"
"1141-05713","MOSMCARMD1","2000-06-03","AHY","M",22,77,"TUTI"
"1141-05714","MOSMCARMD1","2000-06-03","AHY","F",21.2,78,"TUTI"
"1141-05718","ROHRSALMD1","2000-06-13","U","F",20.9,62,"CARW"
"1141-05719","MANNJANDC1","2000-06-14","U","F",22.4,78,"HOFI"
"1141-05721","MANNJANDC1","2000-06-14","U","F",18.2,77,"HOFI"
"1141-05722","MANNJANDC1","2000-06-14","U","M",17.1,56,"CARW"
"1141-05743","SALOSHEMD1","2000-06-29","U","M",21,62,"CARW"
"1141-05782","VERSBETMD1","2001-04-26","ASY","M",23.4,62,"CARW"
"1141-05794","SCHLROBMD1","2001-05-15","AHY","M",21.1,67.5,"SOSP"
"1141-05795","SCHLROBMD1","2001-05-15","AHY","F",22.2,64,"SOSP"
"1141-05796","ROHRSALMD1","2001-05-15","AHY","M",22,60,"CARW"
"1141-05800","FARYSIMMD1","2001-05-23","AHY","M",21.8,69.5,"SOSP"
"1152-47180","TATEJUAMD1","2002-07-18","AHY","F",88.4,118,"AMRO"
"1152-87402","BEALTOMMD1","2001-04-18","AHY","M",70.1,125,"AMRO"
"1152-87428","BARBJERMD1","2002-05-20","AHY","F",73,125.5,"AMRO"
"1152-87433","BRIGKIMMD1","2002-06-17","AHY","F",74.4,121.5,"AMRO"
"1152-87434","BRIGKIMMD1","2002-06-17","AHY","M",68.1,126,"AMRO"
"1152-87487","BROWANNDC1","2003-09-22","AHY","U",54.3,101,"NOMO"
"1152-87488","BROWANNDC1","2003-09-22","AHY","U",45.9,103,"NOMO"
"1152-87501","BROWANNDC1","2003-06-14","AHY","M",77.8,123,"AMRO"
"1152-87502","BROWANNDC1","2003-06-14","AHY","M",81.4,130,"AMRO"
"1152-87503","ONTAHOUDC1","2003-06-13","AHY","F",47.9,108,"NOMO"
"1152-87505","STURCARMD1","2003-06-02","AHY","F",74.1,123.5,"AMRO"
"1152-87515","ONTAHOUDC1","2003-05-20","AHY","M",74.3,136,"AMRO"
"1152-87516","OBRICHRMD1","2003-05-19","AHY","M",65.1,126,"AMRO"
"1152-87520","BRIGKIMMD1","2003-05-10","AHY","F",67.2,125,"AMRO"
"1152-87521","BRIGKIMMD1","2003-05-10","AHY","F",85.2,125,"AMRO"
"1152-87527","BROWANNDC1","2002-04-17","AHY","F",54.2,109,"NOMO"
"1152-87528","BROWANNDC1","2002-04-17","AHY","M",49.2,109,"NOMO"
"1152-87529","BARBJERMD1","2001-07-13","SY","F",48.6,106.5,"NOMO"
"1152-87530","BROWANNDC1","2001-06-26","AHY","F",81.2,128.5,"AMRO"
"1152-87532","BARBJERMD1","2001-06-08","SY","M",49.8,112,"NOMO"
"1152-87534","TATEJUAMD1","2001-05-16","AHY","F",NA,NA,"AMRO"
"1202-99036","STANJEFMD1","2008-06-11","AHY","M",68.5,124,"AMRO"
"1202-99037","STANJEFMD1","2008-06-11","AHY","M",78.5,130,"AMRO"
"1202-99038","STANJEFMD1","2008-06-11","AHY","F",80.1,125,"AMRO"
"1202-99039","STANJEFMD1","2008-06-11","AHY","M",74.6,125,"AMRO"
"1202-99041","TATEJUAMD1","2008-06-14","HY","U",73.3,121.5,"AMRO"
"1202-99042","TATEJUAMD1","2008-06-14","AHY","M",71,122,"AMRO"
"1202-99043","TATEJUAMD1","2008-06-14","AHY","M",69.5,121,"AMRO"
"1202-99059","STANJEFMD1","2009-05-07",NA,NA,NA,NA,"AMRO"
"1202-99060","PERRCHRMD1","2009-05-08","AHY","M",73,122,"AMRO"
"1202-99061","PERRCHRMD1","2009-05-08","AHY","M",62,127,"AMRO"
"1202-99062","REITBOBMD1","2009-05-10","AHY","F",91,132,"AMRO"
"1202-99063","REITBOBMD1","2009-05-10","AHY","F",88,122,"AMRO"
"1202-99069","ZAMBTRAMD1","2009-05-15","AHY","M",68,120,"AMRO"
"1202-99070","EGANMARMD1","2009-05-18","AHY","M",76,122.5,"AMRO"
"1202-99086","PADORAMVA1","2009-07-02","AHY","F",73,127,"AMRO"
"1202-99087","PADORAMVA1","2009-07-02","AHY","M",74,132,"AMRO"
"1202-99088","PADORAMVA1","2009-07-02","AHY","F",70,124,"AMRO"
"1202-99094","SILLSCOMD1","2009-07-14","HY","U",70,124,"AMRO"
"1232-87901","CAMPGLOMD1","2007-06-05","HY","U",76.4,115,"AMRO"
"1232-87902","MOLIKARMD1","2007-06-07","U","M",79.2,120,"AMRO"
"1232-87903","PERRCHRMD1","2007-06-14","AHY","M",71,115,"AMRO"
"1232-87904","PERRCHRMD1","2007-06-14","AHY","M",61,125,"AMRO"
"1232-87911","WILLTERMD1","2008-06-05","AHY","F",78.9,120,"AMRO"
"1232-87912","BALASUCMD1","2008-06-07","AHY","M",76.6,127,"AMRO"
"1232-87913","BALASUCMD1","2008-06-07","AHY","F",NA,NA,"AMRO"
"1232-87914","BALASUCMD1","2008-06-07","AHY","F",74,117,"AMRO"
"1232-87921","CAMPROSMD1","2008-06-25","HY","F",80.1,127,"AMRO"
"1232-87922","CAMPROSMD1","2008-06-25","HY","U",69.5,125,"AMRO"
"1232-87923","WOLFKARDC1","2008-06-26","AHY","M",75.3,129,"AMRO"
"1232-87924","WOLFKARDC1","2008-06-26","AHY","M",77.6,126,"AMRO"
"1232-87931","ONTAHOUDC1","2008-07-11","AHY","F",70,118.5,"AMRO"
"1232-87932","ONTAHOUDC1","2008-07-11","HY","U",50.2,80,"AMRO"
"1232-87933","ONTAHOUDC1","2008-07-11","AHY","F",68.1,120,"AMRO"
"1232-88302","MCDOELIVA1","2007-07-12","AHY","M",48.4,113,"NOMO"
"1232-88701","OLONMARDC1","2007-06-29","AHY","F",NA,NA,"AMRO"
"1232-94714","CAMPROSMD1","2013-07-19","U","F",65.3,120,"AMRO"
"1232-94715","CAMPROSMD1","2013-07-19","HY","U",71,118,"AMRO"
"1232-94716","STUECHRVA2","2013-07-20","AHY","M",76.6,129,"AMRO"
"1232-94717","STUECHRVA2","2013-07-20","AHY","M",72.1,122,"AMRO"
"1232-94724","SILLSCOMD1","2014-06-07","AHY","M",75.5,129,"AMRO"
"1232-94726","FISHFERVA1","2014-06-23","AHY","M",75.8,126,"AMRO"
"1232-94727","FISHFERVA1","2014-06-23","AHY","F",80.5,125,"AMRO"
"1232-94730","BURDROBVA1","2014-06-26","AHY","F",95.1,121,"AMRO"
"1232-94732","BLOCDAVMD1","2014-07-03","HY","U",72.6,123,"AMRO"
"12329-64707","MORRCHRVA1","2013-06-30","AHY","M",76,131,"AMRO"
"1271-42500","BALASUCMD1","2015-05-16","AHY","M",NA,NA,"AMRO"
"1272-42404","STANJEFMD1","2012-05-23","AHY","F",80.1,124,"AMRO"
