"bandNumber","site","date"
"1141-05445","MANNJANDC1","2002-05-30"
"1141-05573","TATEJUAMD1","2002-07-18"
"1141-05577","CAMPROSMD1","2002-07-07"
"1141-05611","BLOCDAVMD1","2002-08-06"
"1141-05633","CAMPGLOMD1","2002-03-15"
"1232-88701","OLONMARDC1","2010-03-15"
"1272-42414","ONTAHOUDC1","2013-06-08"
"1272-42500","BALASUCMD1","2016-06-25"
"1272-43155","FISHFERVA1","2013-05-06"
"1721-48506","COLSKATMD1","2002-04-26"
"1751-51905","BROWANNDC1","2003-08-25"
"1751-51948","TATEJUAMD1","2002-07-18"
"1751-51979","ONTAHOUDC1","2003-05-20"
"1841-58841","STANJEFMD1","2006-06-17"
"1841-58844","TATEJUAMD1","2006-05-27"
"1891-87389","MOSMCARMD1","2005-06-11"
"1901-20588","ROHRSALMD1","2005-03-15"
"1920-85905","BARBJERMD1","2002-05-20"
"1920-85906","BARBJERMD1","2002-05-20"
"1920-85906","BARBJERMD1","2002-09-18"
"1951-41057","SCHLROBMD1","2009-05-15"
"1991-21138","NEWBCARVA1","2009-05-22"
"1991-21142","MCDOELIVA1","2010-07-17"
"1991-46162","ZAMBTRAMD1","2009-05-15"
"1991-46164","ZAMBTRAMD1","2009-05-15"
"1991-46164","ZAMBTRAMD1","2010-05-11"
"2241-17612","VERSBETMD1","2007-06-12"
"2250-24029","TATEJUAMD1","2002-10-02"
"2250-24030","TATEJUAMD1","2003-06-16"
"2250-24030","TATEJUAMD1","2002-07-18"
"2250-24059","STURCARMD1","2002-09-20"
"2250-24072","COLSKATMD1","2002-04-26"
"2251-80301","BEALTOMMD1","2010-07-13"
"2251-80318","KESTSABDC1","2009-07-11"
"2251-80364","GECACARVA1","2012-06-26"
"2251-80364","GECACARVA1","2013-05-06"
"2260-22952","BEALTOMMD1","2009-05-22"
"2281-69406","STEWBETMD1","2008-07-08"
"2281-69406","STEWBETMD1","2009-05-13"
"2281-69439","BURDROBVA1","2008-03-15"
"2281-69439","BURDROBVA1","2010-06-16"
"2281-69442","BURDROBVA1","2009-05-25"
"2281-69445","PADORAMVA1","2008-06-23"
"2281-69466","CAMPGLOMD1","2009-05-12"
"2301-55930","BALASUCMD1","2009-06-12"
