"site","date","birdID"
"BARBJERMD1","2001-03-15","1920-85906"
"BARBJERMD1","2001-06-08","1920-85905"
"REITBOBMD1","2001-06-15","791-17802"
"ROHRSALMD1","2001-05-08","1920-85916"
"BARBJERMD1","2001-06-08","1920-85907"
"PERRCHRMD1","2002-04-07","1920-85879"
"SALOSHEMD1","2002-05-22","1141-05743"
"MOLIKARMD1","2002-06-17","1751-51970"
"FARYSIMMD1","2002-07-15","1141-05602"
"BARBJERMD1","2002-05-20","1141-05594"
"BARBJERMD1","2002-04-02","1152-87532"
"OBRICHRMD1","2002-06-29","1141-05609"
"OBRICHRMD1","2002-06-29","1141-05610"
"STANJEFMD1","2002-04-18","2250-24404"
"REITBOBMD1","2002-05-01","1721-48518"
"BEALTOMMD1","2002-05-12","1141-05597"
"STURCARMD1","2002-06-01","1721-48501"
"MANNJANDC1","2002-05-30","1920-85917"
"MANNJANDC1","2002-05-30","1920-85919"
"REITBOBMD1","2002-06-15","1141-05572"
"BROWANNDC1","2002-04-01","1152-87530"
"BROWANNDC1","2002-05-27","1751-51905"
"BLOCDAVMD1","2002-08-06","2250-24246"
"MANNJANDC1","2002-05-30","2250-24415"
"BLOCDAVMD1","2002-06-09","2250-24245"
"PERRCHRMD1","2002-04-07","2250-24001"
"MOSMCARMD1","2003-05-08","1141-05713"
"REITBOBMD1","2003-07-05","2250-24027"
"CAMPROSMD1","2003-07-02","1141-05577"
"MOSMCARMD1","2003-03-15","2250-24020"
"STURCARMD1","2003-08-30","1721-48501"
"MOSMCARMD1","2003-05-08","791-17744"
"ROHRSALMD1","2003-03-07","1920-85916"
"MOSMCARMD1","2003-05-08","1141-05714"
"STURCARMD1","2003-05-11","2250-24059"
"COLSKATMD1","2003-03-06","1141-05683"
"SALOSHEMD1","2003-08-01","1721-48525"
"PERRCHRMD1","2003-05-29","8001-21456"
"MOLIKARMD1","2003-05-09","1801-09426"
"STURCARMD1","2003-07-30","8001-21494"
"STURCARMD1","2003-05-25","8001-21495"
"STURCARMD1","2003-05-04","8001-21496"
"STURCARMD1","2003-06-07","2250-24394"
"BROWANNDC1","2003-03-15","962-47823"
"TATEJUAMD1","2004-05-27","2250-24030"
"REITBOBMD1","2004-05-03","8001-21330"
"BEALTOMMD1","2004-04-27","8001-21430"
"SALOSHEMD1","2004-06-24","1721-48525"
"STURCARMD1","2004-07-14","8001-21495"
"STURCARMD1","2004-07-14","2250-90370"
"STURCARMD1","2004-07-14","2250-90371"
"MANNJANDC1","2004-07-02","1801-77906"
"OBRICHRMD1","2004-07-09","1152-87516"
"ONTAHOUDC1","2004-05-28","1801-77957"
"ONTAHOUDC1","2004-06-23","1801-77970"
"STURCARMD1","2004-07-14","1841-58824"
"REITBOBMD1","2005-03-30","1141-05571"
"TATEJUAMD1","2005-06-08","2250-24030"
"REITBOBMD1","2005-02-28","8001-21330"
"MOLIKARMD1","2005-07-20","1801-09426"
"MOSMCARMD1","2005-06-11","2250-24970"
"STANJEFMD1","2005-07-18","962-47836"
"TATEJUAMD1","2005-05-15","742-29799"
"BROWANNDC1","2005-05-19","1152-87502"
"BEALTOMMD1","2005-06-19","1950-50471"
"WOLFKARDC1","2005-05-25","4501-87456"
"MISSEDDC1","2005-05-23","1801-77752"
"REITBOBMD1","2006-05-25","1851-95464"
"SCHLROBMD1","2007-05-02","1801-09460"
"STANJEFMD1","2007-05-24","1841-58841"
"REITBOBMD1","2007-05-11","1801-77870"
"SCHLROBMD1","2007-05-02","1801-77847"
"REITBOBMD1","2007-07-05","1851-95463"
"BARBJERMD1","2007-06-27","2430-29216"
"BARBJERMD1","2007-06-25","1951-40963"
"REITBOBMD1","2007-05-13","2251-80702"
"TATEJUAMD1","2007-06-27","2251-80523"
"TATEJUAMD1","2007-06-27","2251-80712"
"TATEJUAMD1","2007-06-27","2251-80714"
"BARBJERMD1","2008-06-02","2250-24385"
"COLSKATMD1","2008-06-19","1801-77835"
"SCHLROBMD1","2008-06-19","2350-07896"
"BLOCDAVMD1","2008-05-17","2241-17620"
"BLOCDAVMD1","2008-05-17","1951-40968"
"COLSKATMD1","2008-06-19","2251-80739"
"COLSKATMD1","2008-06-19","2251-80747"
"MANNJANDC1","2008-06-10","1951-41068"
"CAMPGLOMD1","2008-06-09","2460-22902"
"REITBOBMD1","2008-03-20","2261-38311"
"BROWANNDC1","2008-07-23","2281-69413"
"MISSEDDC1","2008-06-27","2301-56905"
"NEWBCARVA1","2008-07-11","2510-04320"
"REITBOBMD1","2008-03-02","2301-56925"
"ZAMBTRAMD1","2008-07-18","1991-46164"
"STURCARMD1","2009-07-13","2250-90370"
"STANJEFMD1","2009-05-07","1841-58841"
"SALOSHEMD1","2009-06-22","1951-41109"
"SALOSHEMD1","2009-06-22","4501-87449"
"REITBOBMD1","2009-06-01","2251-80703"
"STANJEFMD1","2009-05-07","2400-00682"
"STURCARMD1","2009-07-03","2400-00690"
"STURCARMD1","2009-07-03","1951-41073"
"REITBOBMD1","2009-03-08","2261-38311"
"STEWBETMD1","2009-05-13","2281-69408"
"MCDOELIVA1","2009-07-29","1232-88302"
"REITBOBMD1","2009-05-15","2301-56925"
"BRIGKIMMD1","2009-05-28","1991-21151"
"ROHRSALMD1","2009-07-30","2301-56597"
"ROHRSALMD1","2009-07-30","2510-03802"
"OBRICHRMD1","2009-06-30","2460-22717"
"MOSMCARMD1","2009-05-19","2540-62816"
"COLSKATMD1","2009-05-29","2460-22747"
"FISHFERVA1","2009-05-30","2510-03824"
"SCHLROBMD1","2009-05-15","1991-46181"
"WILLTERMD1","2009-07-13","2301-56808"
"STURCARMD1","2009-07-03","2460-22958"
"STURCARMD1","2009-07-03","1991-46187"
"STEWBETMD1","2009-05-13","2281-69491"
"OBRICHRMD1","2010-07-01","1951-20963"
"REITBOBMD1","2010-06-26","2251-80701"
"STURCARMD1","2010-05-21","1951-41074"
"MISSEDDC1","2010-06-07","2301-56905"
"BURDROBVA1","2010-06-16","2281-69442"
"REITBOBMD1","2010-04-15","2301-56925"
"ROHRSALMD1","2010-06-04","2301-56597"
"MOLIKARMD1","2010-07-03","2281-69477"
"PADORAMVA1","2010-07-01","2301-55960"
"PADORAMVA1","2010-07-01","2341-30310"
"BURDROBVA1","2010-06-16","2301-55974"
"BRIGKIMMD1","2010-07-21","2301-56545"
"REITBOBMD1","2010-08-08","2301-56791"
"STANJEFMD1","2010-06-30","2441-15007"
"REITBOBMD1","2010-03-15","1202-99063"
"EGANMARMD1","2010-06-12","2301-56511"
"MOSMCARMD1","2010-07-24","2441-14007"
"BURDROBVA1","2010-06-16","2590-82527"
"BURDROBVA1","2010-06-16","2590-82528"
"BURDROBVA1","2010-06-16","2441-14012"
"BROWANNDC1","2010-05-19","1292-64336"
"REITBOBMD1","2010-07-06","2301-56785"
"KESTSABDC1","2010-05-15","1292-64512"
"WOLFAMYDC1","2010-05-20","2301-56961"
"WOLFAMYDC1","2010-05-20","2301-56962"
"REITBOBMD1","2010-07-06","2411-37187"
"REITBOBMD1","2010-07-06","2441-13744"
"REITBOBMD1","2011-04-15","2301-56925"
"REITBOBMD1","2011-02-02","2341-29605"
"REITBOBMD1","2011-10-08","2301-56791"
"REITBOBMD1","2011-02-28","1202-99062"
"CAMPROSMD1","2012-05-19","1991-46121"
"MCDOELIVA1","2012-06-04","1232-88302"
"REITBOBMD1","2012-04-15","2301-56925"
"VERSBETMD1","2012-06-07","2540-62817"
"STURCARMD1","2012-05-26","1991-46187"
"REITBOBMD1","2012-07-09","2341-29605"
"SCHLROBMD1","2012-07-10","2411-37208"
"SCHLROBMD1","2012-07-10","2411-37211"
"BRIGKIMMD1","2012-06-30","2411-37103"
"CAMPROSMD1","2012-05-19","2411-37244"
"OBRICHRMD1","2012-06-02","2411-37417"
"OBRICHRMD1","2012-06-02","2590-82317"
"STEWBETMD1","2012-05-10","2421-11709"
"CLARCOLDC1","2012-07-01","2251-80353"
"PADORAMVA1","2012-05-24","2341-29350"
"PADORAMVA1","2012-05-24","2341-29351"
