site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,notesEnc,timeEnc
MANNJANDC1,2000-06-14,NA,Band,HOFI,1141-05719,"R,O/A",U,F,NA,NA,22.4,78,62,17.82,"yearColumn = 2000, banded 14 June -",NA
MANNJANDC1,2000-06-14,NA,Band,HOFI,1141-05721,"Y,BU/A",U,F,NA,NA,18.2,77,62,17.76,"yearColumn = 2000, banded 14 June -",NA
MANNJANDC1,2000-06-14,NA,Band,CACH,1920-85917,"W/A,Y",U,F,NA,NA,9.3,62,54,16.05,"yearColumn = 2000, banded 14 June; yearColumn = 2002, resighted 30 May -",NA
MANNJANDC1,2000-06-14,NA,Band,CACH,1920-85919,"A/G,BU",U,F,NA,NA,8.8,60,60,15.55,"yearColumn = 2000, banded 14 June; yearColumn = 2002, resighted 30 May -",NA
MANNJANDC1,2000-06-14,NA,Band,CARW,1141-05722,"A/O,R",U,M,NA,NA,17.1,56,43,21.99,"yearColumn = 2000, banded 14 June; yearColumn = 2003, resighted by participant 20 July -",NA
MANNJANDC1,2000-06-14,NA,Band,CACH,1920-85918,"P/A,R",NA,NA,NA,NA,NA,NA,NA,NA,"yearColumn = 2000, banded 14 June ",NA
BLOCDAVMD1,2000-06-21,NA,Band,GRCA,791-17811,"W/A,Y

",U,M,NA,NA,35.2,87,90,28.74,"yearColumn = 2000, banded 21 June -",NA
REITBOBMD1,2008-07-22,NA,Band,SOSP,2341-29605,"R/BK,A",AHY,M,NA,NA,19.9,65,NA,21.86,"yearColumn = 2008, banded 22 July; yearColumn = 2010, resighted by participant 13 June; resighted 7/6; yearColumn = 2011, resighted by participant 2/2/12; yearColumn = 2012, resighted by kam 7/9; yearColumn = 2014, resighted by participant 28 April -",NA
MOSMCARMD1,2000-06-03,NA,Band,CARW,1141-05712,"BU/A,BU",AHY,M,NA,NA,21.9,62,52,23.71,"yearColumn = 2000, banded 3 June -",NA
MOSMCARMD1,2000-06-03,NA,Band,TUTI,1141-05713,"Y,O/A",AHY,M,NA,NA,22,77,74,21.44,"yearColumn = 2000, banded 3 June; yearColumn = 2001, resighted by participant spring 2001; yearColumn = 2003, resighted 8 May -",NA
MOSMCARMD1,2000-06-03,NA,Band,NOCA,791-17744,"W/A,G",AHY,F,NA,NA,39.7,91.5,89,23.79,"yearColumn = 2000, banded 3 June; yearColumn = 2001, resighted by participant spring 2001; yearColumn = 2003, resighted 8 May -",NA
TATEJUAMD1,2005-06-08,NA,Band,CACH,2430-29214,"BU,G/A",AHY,M,NA,NA,11,61,NA,16.1,"yearColumn = 2005, banded 8 June -",NA
TATEJUAMD1,2005-06-08,NA,Band,HOWR,2430-29215,"A,Y/O",AHY,M,NA,NA,12.1,51.5,NA,17.76,"yearColumn = 2005, banded 8 June -",NA
BEALTOMMD1,2001-04-18,NA,Band,AMRO,1152-87402,"W/BK,A",AHY,M,NA,NA,70.1,125,89.5,32.82,"yearColumn = 2001, banded 18 April -",NA
VERSBETMD1,2001-04-26,NA,Band,CARW,1141-05782,"A/G,P",ASY,M,NA,NA,23.4,62,51,21.47,"yearColumn = 2001, banded 26 April; yearColumn = 2002, resighted 9 June -",NA
BLOCDAVMD1,2001-06-02,NA,Band,HOWR,2250-24244,"A/BK,BU",AHY,M,NA,NA,11,49.5,43,16.74,"yearColumn = 2001, banded 2 June -",NA
BLOCDAVMD1,2001-06-02,NA,Band,NOCA,791-17080,"R,A/Y",AHY,M,NA,NA,46.6,99,110,24.45,"yearColumn = 2001, banded 2June -",NA
BLOCDAVMD1,2001-06-02,NA,Band,SOSP,1141-05612,"A/W,W",AHY,M,NA,NA,14,67.5,57,21.79,"yearColumn = 2001, banded 2 June -",NA
BLOCDAVMD1,2001-06-02,NA,Band,CARW,1141-05611,"P/BK,A",AHY,M,NA,NA,23.1,62,52,21.75,"yearColumn = 2001, banded 2 June; yearColumn = 2002, resight 23 June,recap 6 Aug -",NA
BLOCDAVMD1,2001-06-02,NA,Band,CACH,2250-24246,"P/BU,A",AHY,F,NA,NA,10.3,60,50,14.99,"yearColumn = 2001, banded 2 June; yearColumn = 2002, resighted 6 Aug -",NA
BLOCDAVMD1,2001-06-02,NA,Band,CACH,2250-24245,"A,-",AHY,U,NA,NA,NA,NA,NA,16.12,"yearColumn = 2001, banded 2 June; yearColumn = 2002, resighted 9 June -",NA
BEALTOMMD1,2001-06-12,NA,Band,GRCA,1751-51925,"G/BU,A",AHY,M,NA,NA,36.7,90,94,26.51,"yearColumn = 2001, banded 12 June -",NA
BEALTOMMD1,2001-06-12,NA,Band,NOCA,1751-51924,"Y/A,G",AHY,M,NA,NA,48.3,97,30,24.25,"yearColumn = 2001, banded 12 June -",NA
BEALTOMMD1,2001-06-12,NA,Band,CARW,1141-05597,"W,G/A",AHY,M,NA,NA,19.7,60,48,20.94,"yearColumn = 2001, banded 12 June; yearColumn = 2002, resighted 12 May; yearColumn = 2003, found deceased in fall  -",NA
STURCARMD1,2001-06-13,NA,Band,GRCA,1751-51920,"A/Y,BK",AHY,M,NA,NA,35.5,92,95,26.37,"yearColumn = 2001, banded 13 June -",NA
STURCARMD1,2001-06-13,NA,Band,HOWR,2250-24058,"Y/O,A",AHY,M,NA,NA,10.8,52,42,16.28,"yearColumn = 2001, banded 13June -",NA
STURCARMD1,2001-06-13,NA,Band,CACH,2250-24060,"A,BU",HY,U,NA,NA,9.6,62,51,13.08,"yearColumn = 2001, banded 13 June -",NA
STURCARMD1,2001-06-13,NA,Band,CACH,2250-24062,"G,A/O",HY,U,NA,NA,10.3,65,48.5,15.59,"yearColumn = 2001, banded 13 June -",NA
STURCARMD1,2001-06-13,NA,Band,CARW,1721-48502,"BK,R/A",HY,U,NA,NA,19.2,58,47,20.8,"yearColumn = 2001, banded 13 June -",NA
STURCARMD1,2001-06-13,NA,Band,CARW,1721-48501,"O,O/A",AHY,M,NA,NA,21,57.5,48,19.69,"yearColumn = 2001, banded 13June; yearColumn = 2002, resighted 1 June; yearColumn = 2003, resighted 30 Aug -",NA
STURCARMD1,2001-06-13,NA,Band,CACH,2250-24059,"R/P,A",AHY,F,NA,NA,9.6,59,51,14.75,"yearColumn = 2001, banded 13 June; yearColumn = 2002, resighted 6 June; recap 20 Sept; yearColumn = 2003, resight 11 May -",NA
STURCARMD1,2001-06-13,NA,Band,CACH,2250-24061,"P/BK,A",HY,U,NA,NA,9.8,59,49,15.38,"yearColumn = 2001, banded 13 June; yearColumn = 2004, Resighted by participant 21 August; yearColumn = 2005, resighted by participant 5 Feb -",NA
BEALTOMMD1,2001-06-19,NA,Band,CARW,1141-05439,"A/Y,BU",AHY,M,NA,NA,20.6,59,NA,21.08,"yearColumn = 2001, banded 19 June -",NA
COLSKATMD1,2001-06-20,NA,Band,GRCA,1751-51908,"P,G/A",AHY,M,NA,NA,33.7,87,87,25.85,"yearColumn = 2001, banded 20 June -",NA
COLSKATMD1,2001-06-20,NA,Band,SOSP,1721-48507,"P/Y,A",AHY,M,NA,NA,21,66,65,21.63,"yearColumn = 2001, banded 20 June -",NA
COLSKATMD1,2001-06-20,NA,Band,HOWR,2250-24072,"A,P/R",AHY,M,NA,NA,10.6,47,39,17.53,"yearColumn = 2001, banded 20 June; yearColumn = 2002, recaptured 26 April -",NA
COLSKATMD1,2001-06-20,NA,Band,CARW,1721-48506,"BK/BU,A",AHY,M,NA,NA,22.1,59,49,21.29,"yearColumn = 2001, banded 20 June; yearColumn = 2002, recaptured 26 April -",NA
COLSKATMD1,2001-06-20,NA,Band,NOCA,1751-51909,"A/G,W",AHY,M,NA,NA,41.2,95,104,23.67,"yearColumn = 2001, banded 20 June; yearColumn = 2003, resighted by participant 13 April -",NA
MANNJANDC1,2001-06-22,NA,Band,HOWR,2250-24413,"A,O/R",AHY,M,NA,NA,10.4,51.5,44,16.95,"yearColumn = 2001, banded 22 June -",NA
MANNJANDC1,2001-06-22,NA,Band,SOSP,1141-05444,"O/R,A",AHY,M,NA,NA,20.9,66,68,21.69,"yearColumn = 2001, banded 22 June -",NA
MANNJANDC1,2001-06-22,NA,Band,NOCA,8001-21214,"W,R/A",HY,F,NA,NA,42.4,86,90,24.87,"yearColumn = 2001, banded 22 June -",NA
MANNJANDC1,2001-06-22,NA,Band,CACH,2250-24414,"BK,A/O",AHY,U,NA,NA,9.8,67.5,54,15.06,"yearColumn = 2001, banded 22 June -",NA
MANNJANDC1,2001-06-22,NA,Band,CARW,1141-05443,"Y/A,P",AHY,M,NA,NA,20,60,53,21.68,"yearColumn = 2001, banded 22 June; yearColumn = 2008, Resighted by participant March 7 -",NA
MANNJANDC1,2001-06-22,NA,Band,CARW,1141-05445,"A/BU,BU",AHY,F,NA,NA,18.8,59,48,21.63,"yearColumn = 2001, banded 22 June; yearColumn = 2002, recaptured 30 May -",NA
MANNJANDC1,2001-06-22,NA,Band,CACH,2250-24415,"A/R,R",AHY,F,NA,NA,9.8,65,53,16.69,"yearColumn = 2001, Banded 22 June; yearColumn = 2002, resighted 30 May -",NA
BROWANNMD1,2001-06-26,NA,Band,NOCA,1751-51904,"G,BK/A",AHY,M,NA,NA,45.2,95,100,24.2,"yearColumn = 2001, banded 26 June; yearColumn = 2002, resight 27 May; resight 6 Sept; yearColumn = 2004, resight by participant 5/11 -",NA
COLSKATMD1,2002-04-26,NA,Band,CACH,2250-90414,"P,A/BK",AHY,M,NA,NA,10.8,66,NA,16.26,"yearColumn = 2002, banded 26 April; yearColumn = 2003, resighted by participant 13 April; yearColumn = 2004, resighted by participant May 04; yearColumn = 2005, Resighted by participant in June; yearColumn = 2006, resighted by participant 10 November -",NA
COLSKATMD1,2002-04-26,NA,Band,CARW,1141-05683,"Y/W,A",AHY,F,NA,NA,19,57.5,NA,21.78,"yearColumn = 2002, banded 26 April; yearColumn = 2003, resight 3/6/03 -",NA
COLSKATMD1,2002-04-26,NA,Recap,HOWR,2250-24072,"A,P/R",AHY,M,NA,NA,11.8,NA,NA,NA,"yearColumn = 2001, banded 20 June; yearColumn = 2002, recaptured 26 April -",NA
COLSKATMD1,2002-04-26,NA,Recap,CARW,1721-48506,"BK/BU,A",NA,NA,NA,NA,NA,NA,NA,NA,"yearColumn = 2001, banded 20 June; yearColumn = 2002, recaptured 26 April ",NA
BEALTOMMD1,2002-05-12,NA,Band,NOCA,8001-21431,"R,A/R",AHY,M,NA,NA,44.2,94,NA,23.46,"yearColumn = 2002, banded 12 May -",NA
BEALTOMMD1,2002-05-12,NA,Band,GRCA,8001-21432,"A/P,O",AHY,M,NA,NA,35.4,94,NA,28.3,"yearColumn = 2002, banded 12 May -",NA
BEALTOMMD1,2002-05-12,NA,Band,NOCA,8001-21430,"BU,O/A",SY,M,NA,NA,45.3,91,NA,26,"yearColumn = 2002, banded 12 May; yearColumn = 2003, resighted by participant; yearColumn = 2004, resighted 27 April ; yearColumn = 2005, resighted by participant; yearColumn = 2006, resighted by participant; yearColumn = 2007, resighted by participant earlier in the year and by bander (5/29); yearColumn = 2008, resighted by participant; yearColumn = 2009, resighted by participant March, recaptured 5/22/09; yearColumn = 2010, resighted by participant 21 May; yearColumn = 2011, Resighted by participant 5/2011. -",NA
MANNJANDC1,2002-05-30,NA,Band,GRCA,8001-21346,"R,A/BU",SY,M,NA,NA,NA,93,NA,27.56,"yearColumn = 2002, banded 30 May -",NA
MANNJANDC1,2002-05-30,NA,Band,NOCA,8001-21347,"BK,Y/A",AHY,M,NA,NA,38.8,94,NA,22.63,"yearColumn = 2002, banded 30 May -",NA
MANNJANDC1,2002-05-30,NA,Band,HOWR,2250-24332,"W/Y,A",AHY,M,NA,NA,10.1,51,NA,17.35,"yearColumn = 2002, banded 30 May; yearColumn = 2003, resighted 20 May by participant -",NA
MANNJANDC1,2002-05-30,NA,Band,CARW,1721-48527,"W/A,G",AHY,F,NA,NA,19.8,56,NA,19.63,"yearColumn = 2002, banded 30 May; yearColumn = 2003, .resighted by participant 14 December; yearColumn = 2004, resighted by participant 2 May; yearColumn = 2005, resighted by participant 24 August; yearColumn = 2007, resighted by participant 25 April -",NA
MANNJANDC1,2002-05-30,NA,Recap,CARW,1141-05445,"A/BU,BU",NA,NA,NA,NA,NA,NA,NA,NA,"yearColumn = 2001, banded 22 June; yearColumn = 2002, recaptured 30 May ",NA
BRIGKIMMD1,2002-06-17,NA,Band,SOSP,2280-90102,"O/BU,A",AHY,M,NA,NA,19.7,65,NA,21.06,"yearColumn = 2002, banded 17 June -",NA
BRIGKIMMD1,2002-06-17,NA,Band,AMRO,1152-87433,"P/R,A",AHY,F,NA,NA,74.4,121.5,NA,33.6,"yearColumn = 2002, banded 17 June -",NA
BRIGKIMMD1,2002-06-17,NA,Band,AMRO,1152-87434,"A/W,G",AHY,M,NA,NA,68.1,126,NA,30.96,"yearColumn = 2002, banded 17 June -",NA
