site,date,time,enc,spp,band,l,r,sex,long,lat
BALASUCMD1,2016-08-23,12:40,RST,AMRO,1352-46510,A,?/O,,,
BALASUCMD1,2016-08-23,12:45,RST,CACH,2750-64342,A/R,?,,,
BALASUCMD1,2016-08-23,12:45,RST,CACH,2750-64361,Y/W,A,,,
BARBJERMD1,2016-07-12,8:43,RST,CARW,2711-77121,A,P/O,M?,,
BARBJERMD1,2016-07-12,8:45,RST,CARW,?,BK,?,F?,,
BARBJERMD1,2016-07-12,9:04,RST,NOCA,2641-63964,A/G?,R,M,,
BARBJERMD1,2016-07-19,9:09,RSI,NOCA,2641-63964,G/A?,R,M,,
BARBJERMD1,2016-07-19,9:09,RSI,NOCA,?,?,BK,F,,
BARBJERMD1,2016-08-23,10:26,RST,NOCA,2641-63959,A/PK,?,M,,
BARBJERMD1,2016-08-23,10:29,RST,CARW,2711-77121,A,P/O,M,,
BARBJERMD1,2016-08-23,10:34,RST,CACH,2750-41384,A?/W,G,,,
BARBJERMD1,2016-08-23,10:36,RST,CACH,2750-41387,A/PK,Y,,,
BARBJERMD1,2016-08-23,10:40,RST,NOCA,2641-63964,A/G?,R,M,,
BARBJERMD1,2016-08-30,9:49,RST,NOCA,2641-63966,PK,A,M,,
BARBJERMD1,2016-08-30,10:02,RST,CACH,2750-41387,A/PK,Y,,,
BEALTOMMD1,2016-06-20,9:14,RSI,NOCA,?,W/A,?,F,,
BEALTOMMD1,2016-06-20,9:34,RST,CARW,2661-31567,A,P/R,,,
BEALTOMMD1,2016-07-13,7:35,RST,CARW,2661-31567,A,P/R,,,
BEALTOMMD1,2016-08-21,11:16,RST,CARW,2661-31567,A,P/R,,,
BLOCDAVMD1,2016-06-27,9:35,RSI,AMRO,?,P/A,R,,,
BLOCDAVMD1,2016-06-27,9:41,RSI,SOSP,2571-70362,A,PK/G,,,
BLOCDAVMD1,2016-06-27,10:15,RST,SOSP,2571-70362,A,PK/G,,"""  ""","""  """
BLOCDAVMD1,2016-06-27,10:18,RST,SOSP,2441-96351,G,A/Y,,,
BLOCDAVMD1,2016-06-27,10:23,RST,AMRO,?,P/A,R,,,
BLOCDAVMD1,2016-07-04,9:15,RSI,SOSP,2441-96351,G,A/Y,,,
BLOCDAVMD1,2016-07-20,6:22,RSI,GRCA,?,Y/A,W,,,
BLOCDAVMD1,2016-07-20,6:24,RSI,GRCA,?,BU,A/PK,,,
BLOCDAVMD1,2016-08-12,8:32,RST,GRCA,2641-63928,Y/A,?,,,
BRIGKIMMD1,2016-06-16,8:42,RSI,GRCA,2651-47542,Y/O,A,,,
BRIGKIMMD1,2016-06-16,9:14,RST,SOSP,2441-13865,R,A/P,,,
BRIGKIMMD1,2016-08-09,9:10,RSI,CACH,2710-53808,A/O,R,,,
BRIGKIMMD1,2016-08-09,9:13,RSI,GRCA,2651-47542,Y/O,A,,,
BROWANNDC1,2016-06-15,11:07,RST,GRCA,2641-96848,BU/A,BU,,,
BROWANNDC1,2016-06-22,10:20,RST,GRCA,2641-96848,BU/A,BU,,,
BROWANNDC1,2016-07-11,8:01,RST,GRCA,2641-96848,BU/A,BU,,,
BROWANNMD1,2016-06-21,12:38,RSI,HOWR,2710-54288,BK,A/W,,,
BROWANNMD1,2016-06-21,13:02,RST,HOWR,2710-54288,BK,A/W,,,
BROWANNMD1,2016-06-21,13:15,RST,CACH,2710-53817,P/W,A,,,
BROWANNMD1,2016-06-21,13:15,RST,CACH,2710-54289,O,?,,,
BROWANNMD1,2016-07-05,7:50,RSI,HOWR,2710-54288,?,A/W,,,
BROWANNMD1,2016-07-12,10:52,RSI,HOWR,2710-54288,?,A/W,,,
BROWANNMD1,2016-07-12,10:17,RST,CACH,2710-54289,O,A,,,
BROWANNMD1,2016-07-12,10:18,RST,CACH,2710-53817,A?,W?,,,
BROWANNMD1,2016-07-12,10:28,RST,SOSP,2711-77136,Y,BK/A,,,
BROWANNMD1,2016-08-02,9:55,RSI,SOSP,2711-77136,Y,BK/A,,,
BROWANNMD1,2016-08-02,10:15,RST,HOWR,2710-54288,BK,A/W,,,
BROWANNMD1,2016-08-09,11:51,RST,SOSP,2711-77136,Y,BK/A,,,
BUISNORVA1,2016-06-06,15:12,RSI,NOCA,?,?,G,M,,
BUISNORVA1,2016-06-13,13:21,RST,NOCA,?,?,G,M,,
BUISNORVA1,2016-06-13,13:27,RST,CACH,2510-03834,Y/R,A,,,
BUISNORVA1,2016-07-25,7:57,RSI,NOCA,2531-74567,O/PK,A,M,,
