siteID,dateResight,yearResight,birdID,resightTypePart,notesResight,notesResightPart
STANJEFMD1,2/10/2002,2002,1141-05438,P,NA,"yearColumn = 2001, banded 18 June; yearColumn = 2002, resight 10 Feb + 6 Aug"
STANJEFMD1,8/6/2002,2002,1141-05438,P,NA,"yearColumn = 2001, banded 18 June; yearColumn = 2002, resight 10 Feb + 6 Aug"
MANNJANDC1,3/7/2008,2008,1141-05443,P,NA,"yearColumn = 2001, banded 22 June; yearColumn = 2008, Resighted by participant March 7"
TATEJUAMD1,7/10/2003,2003,1141-05573,P,NA,"yearColumn = 2001, banded 16 May; yearColumn = 2002, reccaptured 18 July; yearColumn = 2003, resight 10 July by participant; yearColumn = 2004, resight 4 April"
TATEJUAMD1,4/4/2004,2004,1141-05573,P,NA,"yearColumn = 2001, banded 16 May; yearColumn = 2002, reccaptured 18 July; yearColumn = 2003, resight 10 July by participant; yearColumn = 2004, resight 4 April"
TATEJUAMD1,2/15/2002,2002,1141-05574,P,NA,"yearColumn = 2001, banded 16 May; yearColumn = 2002, resighted by particpant Feb"
BEALTOMMD1,11/15/2003,2003,1141-05597,P,NA,"yearColumn = 2001, banded 12 June; yearColumn = 2002, resighted 12 May; yearColumn = 2003, found deceased in fall "
OBRICHRMD1,1/31/2003,2003,1141-05609,P,NA,"yearColumn = 2001, banded 31 May; yearColumn = 2002, resighted 29 June; yearColumn = 2003, found dead 31 Jan"
PERRCHRMD1,4/15/2001,2001,1141-05702,P,NA,"yearColumn = 2000, banded 28 April; yearColumn = 2001, resighted by participant spring 2001"
MOSMCARMD1,4/15/2001,2001,1141-05713,P,NA,"yearColumn = 2000, banded 3 June; yearColumn = 2001, resighted by participant spring 2001; yearColumn = 2003, resighted 8 May"
MOSMCARMD1,4/15/2001,2001,1141-05714,P,NA,"yearColumn = 2000, banded 3 June; yearColumn = 2001, resighted by participant spring 2001; yearColumn = 2003, resighted 8 May"
ROHRSALMD1,7/15/2002,2002,1141-05718,P,NA,"yearColumn = 2000, banded 13 June; yearColumn = 2002, resighted 15 July"
MANNJANDC1,7/20/2003,2003,1141-05722,P,NA,"yearColumn = 2000, banded 14 June; yearColumn = 2003, resighted by participant 20 July"
SALOSHEMD1,2/17/2003,2003,1141-05743,P,NA,"yearColumn = 2000, banded 29 june; yearColumn = 2002, resighted 22 May; yearColumn = 2003, resighted 17 Feb"
VERSBETMD1,6/9/2002,2002,1141-05782,P,NA,"yearColumn = 2001, banded 26 April; yearColumn = 2002, resighted 9 June"
ROHRSALMD1,3/15/2002,2002,1141-05796,P,NA,"yearColumn = 2001, banded 15 May; yearColumn = 2002, resighted March"
BROWANNDC1,6/12/2004,2004,1152-87502,P,NA,"yearColumn = 2003, Banded 14 June; yearColumn = 2004, resight by participant 6/12; yearColumn = 2005, resighted 19 May"
BROWANNDC1,3/15/2003,2003,1152-87528,P,NA,"yearColumn = 2002, band 17 April; resight 6 Sept; yearColumn = 2003, resighted by participant March-April; yearColumn = 2004, resighted by participant 20 May; yearColumn = 2004, banded"
BROWANNDC1,4/15/2003,2003,1152-87528,P,NA,"yearColumn = 2002, band 17 April; resight 6 Sept; yearColumn = 2003, resighted by participant March-April; yearColumn = 2004, resighted by participant 20 May; yearColumn = 2004, banded"
BROWANNDC1,5/20/2004,2004,1152-87528,P,NA,"yearColumn = 2002, band 17 April; resight 6 Sept; yearColumn = 2003, resighted by participant March-April; yearColumn = 2004, resighted by participant 20 May; yearColumn = 2004, banded"
BROWANNDC1,3/20/2004,2004,1152-87530,P,NA,"yearColumn = 2001, banded 26 June; yearColumn = 2002, resighted 1 April; yearColumn = 2004, resighted by participant 20 March"
TATEJUAMD1,2/15/2002,2002,1152-87534,P,NA,"yearColumn = 2001, banded 16 May; yearColumn = 2002, resighted Feb - July; yearColumn = 2003, resighted 1 June by participant"
TATEJUAMD1,7/15/2002,2002,1152-87534,P,NA,"yearColumn = 2001, banded 16 May; yearColumn = 2002, resighted Feb - July; yearColumn = 2003, resighted 1 June by participant"
TATEJUAMD1,6/1/2003,2003,1152-87534,P,NA,"yearColumn = 2001, banded 16 May; yearColumn = 2002, resighted Feb - July; yearColumn = 2003, resighted 1 June by participant"
TATEJUAMD1,6/12/2009,2009,1202-99041,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, RESIGHTED BY PARTICIPANT 6/12/09; yearColumn = 2010, resighted by participant 22 June"
TATEJUAMD1,6/22/2010,2010,1202-99041,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, RESIGHTED BY PARTICIPANT 6/12/09; yearColumn = 2010, resighted by participant 22 June"
TATEJUAMD1,3/15/2009,2009,1202-99042,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015"
TATEJUAMD1,3/15/2010,2010,1202-99042,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015"
