"ch","freq"
"00000000000000001",341
"00000000000000010",246
"00000000000000011",30
"00000000000000100",208
"00000000000000101",13
"00000000000000110",24
"00000000000000111",4
"00000000000001000",216
"00000000000001001",4
"00000000000001010",9
"00000000000001011",1
"00000000000001100",21
"00000000000001110",3
"00000000000001111",1
"00000000000010000",214
"00000000000010001",2
"00000000000010010",7
"00000000000010011",1
"00000000000010100",1
"00000000000010110",3
"00000000000011000",11
"00000000000011100",2
"00000000000011110",1
"00000000001000000",300
"00000000001000001",2
"00000000001000100",4
"00000000001001000",1
"00000000001001011",1
"00000000001010000",12
"00000000001011000",2
"00000000010000000",230
"00000000010000001",1
"00000000010000100",1
"00000000010000111",1
"00000000010001000",1
"00000000010001001",1
"00000000010001010",1
"00000000010010000",8
"00000000010010001",1
"00000000010011000",1
"00000000010100000",1
"00000000011000000",31
"00000000011000100",1
"00000000011001000",1
"00000000011001100",1
"00000000011010000",1
"00000000011011000",1
"00000000011011001",1
"00000000011100000",1
"00000000100000000",195
"00000000100001000",2
"00000000100010100",1
"00000000100011000",2
"00000000101000000",15
"00000000101110100",1
"00000000110000000",20
"00000000110010000",1
"00000000111000000",5
"00000000111010000",1
"00000000111100000",1
"00000001000000000",108
"00000001000010000",1
"00000001001000000",3
"00000001010000000",6
"00000001011000000",2
"00000001011011000",1
"00000001100000000",12
"00000001101000000",2
"00000001110000000",1
"00000001110001000",1
"00000001111000000",3
"00000001111111000",1
"00000010000000000",51
"00000010001000000",1
"00000010010000000",2
"00000010100000000",2
"00000011000000000",5
"00000100000000000",67
"00000100010000000",1
"00000100100000000",2
"00000101000000000",4
"00000110000000000",1
"00001000000000000",62
"00001000000010000",1
"00001000001000000",1
"00001000100000000",1
"00001000110000000",1
"00001001000000000",2
"00001010000000000",1
"00001011010000000",1
"00001100000000000",5
"00010000000000000",79
"00010000000000100",1
"00010000100000000",1
"00010100000000000",3
"00011000000000000",6
"00011000010000000",1
"00100000000000000",111
"00100000100000000",1
"00100001000000000",1
"00101000010000000",1
"00101100000000000",1
"00110000000000000",6
"00110100000000000",1
"00111000000000000",2
"01000000000000000",81
"01000100000000000",1
"01010000000000000",4
"01100000000000000",23
"01110000000000000",4
"01111100000000000",1
"10000000000000000",22
"10010000000000000",1
"10100000000000000",4
"11000000000000000",3
"11010000000000000",1
"11100000000000000",2
