"","month","sampleOrder","site"
"1",1,1,"SALOSHEMD1"
"2",1,2,"LEONTESDC1"
"3",1,3,"BUISNORVA1"
"4",1,4,"MOLIKARMD1"
"5",1,5,"PIROELADC1"
"6",1,6,"BRIGKIMMD1"
"7",1,7,"STURCARMD1"
"8",1,8,"MANNJANDC1"
"9",1,9,"ZAMBTRAMD1"
"10",1,10,"FISHFERVA1"
"11",1,11,"SILLSCOMD1"
"12",1,12,"KEYESUSMD1"
"13",1,13,"EGANMARMD1"
"14",1,14,"GECACARVA1"
"15",1,15,"ONTAHOUDC1"
"16",1,16,"BURDROBVA1"
"17",1,17,"COLSKATMD1"
"18",1,18,"KESTSABDC1"
"19",1,19,"TATEJUAMD1"
"20",1,20,"LANDCELVA1"
"21",1,21,"NEWBCARVA1"
"22",1,22,"BROWANNMD1"
"23",1,23,"FARYSIMMD1"
"24",1,24,"GERYERIMD1"
"25",1,25,"WOLFAMYDC1"
"26",1,26,"FREYFREMD1"
"27",1,27,"CAMPGLOMD1"
"28",1,28,"CAMPROSMD1"
"29",1,29,"BEALTOMMD1"
"30",1,30,"MISSEDDC1"
"31",1,31,"BROWANNDC1"
"32",1,32,"PERRCHRMD1"
"33",1,33,"JACOMERMD1"
"34",1,34,"WILLTERMD1"
"35",1,35,"REITBOBMD1"
"36",1,36,"VONGJENMD1"
"37",1,37,"BARBJERMD1"
"38",1,38,"PADORAMVA1"
"39",1,39,"CLARCOLDC1"
"40",1,40,"OLONMARDC1"
"41",1,41,"BLOCDAVMD1"
"42",1,42,"MORRCHRVA1"
"43",1,43,"SCHLROBMD1"
"44",1,44,"PHARAIMMD1"
"45",1,45,"STEWBETMD1"
"46",1,46,"BALASUCMD1"
"47",1,47,"BOONGREMD1"
"48",1,48,"OBRICHRMD1"
"49",1,49,"MCDOELIVA1"
"50",1,50,"PERNMIKMD1"
"51",1,51,"WOLFKARDC1"
"52",1,52,"VERSBETMD1"
"53",1,53,"MOSMCARMD1"
"54",2,1,"REITBOBMD1"
"55",2,2,"CLARCOLDC1"
"56",2,3,"BROWANNDC1"
"57",2,4,"EGANMARMD1"
"58",2,5,"CAMPGLOMD1"
"59",2,6,"PADORAMVA1"
"60",2,7,"GECACARVA1"
"61",2,8,"MANNJANDC1"
"62",2,9,"VONGJENMD1"
"63",2,10,"GERYERIMD1"
"64",2,11,"SILLSCOMD1"
"65",2,12,"BRIGKIMMD1"
"66",2,13,"MOLIKARMD1"
"67",2,14,"BROWANNMD1"
"68",2,15,"BLOCDAVMD1"
"69",2,16,"MCDOELIVA1"
"70",2,17,"BEALTOMMD1"
"71",2,18,"ONTAHOUDC1"
"72",2,19,"CAMPROSMD1"
"73",2,20,"OLONMARDC1"
"74",2,21,"FARYSIMMD1"
"75",2,22,"NEWBCARVA1"
"76",2,23,"BALASUCMD1"
"77",2,24,"BOONGREMD1"
"78",2,25,"TATEJUAMD1"
"79",2,26,"BARBJERMD1"
"80",2,27,"COLSKATMD1"
"81",2,28,"KESTSABDC1"
"82",2,29,"STEWBETMD1"
"83",2,30,"MISSEDDC1"
"84",2,31,"JACOMERMD1"
"85",2,32,"KEYESUSMD1"
"86",2,33,"WILLTERMD1"
"87",2,34,"SCHLROBMD1"
"88",2,35,"ZAMBTRAMD1"
"89",2,36,"STURCARMD1"
"90",2,37,"MORRCHRVA1"
"91",2,38,"SALOSHEMD1"
"92",2,39,"MOSMCARMD1"
"93",2,40,"BURDROBVA1"
"94",2,41,"WOLFKARDC1"
"95",2,42,"FISHFERVA1"
"96",2,43,"PIROELADC1"
"97",2,44,"PERNMIKMD1"
"98",2,45,"WOLFAMYDC1"
"99",2,46,"LEONTESDC1"
"100",2,47,"BUISNORVA1"
"101",2,48,"LANDCELVA1"
"102",2,49,"PHARAIMMD1"
"103",2,50,"PERRCHRMD1"
"104",2,51,"FREYFREMD1"
"105",2,52,"VERSBETMD1"
"106",2,53,"OBRICHRMD1"
"107",3,1,"CAMPGLOMD1"
"108",3,2,"GERYERIMD1"
"109",3,3,"STEWBETMD1"
"110",3,4,"SALOSHEMD1"
"111",3,5,"ONTAHOUDC1"
"112",3,6,"EGANMARMD1"
"113",3,7,"BOONGREMD1"
"114",3,8,"MISSEDDC1"
"115",3,9,"BLOCDAVMD1"
"116",3,10,"BRIGKIMMD1"
"117",3,11,"KEYESUSMD1"
"118",3,12,"MCDOELIVA1"
"119",3,13,"BROWANNDC1"
"120",3,14,"MORRCHRVA1"
"121",3,15,"ZAMBTRAMD1"
"122",3,16,"SILLSCOMD1"
"123",3,17,"WOLFKARDC1"
"124",3,18,"BUISNORVA1"
"125",3,19,"PHARAIMMD1"
"126",3,20,"FARYSIMMD1"
"127",3,21,"LANDCELVA1"
"128",3,22,"PERRCHRMD1"
"129",3,23,"KESTSABDC1"
"130",3,24,"SCHLROBMD1"
"131",3,25,"TATEJUAMD1"
"132",3,26,"WOLFAMYDC1"
"133",3,27,"CAMPROSMD1"
"134",3,28,"WILLTERMD1"
"135",3,29,"REITBOBMD1"
"136",3,30,"MANNJANDC1"
"137",3,31,"COLSKATMD1"
"138",3,32,"NEWBCARVA1"
"139",3,33,"CLARCOLDC1"
"140",3,34,"LEONTESDC1"
"141",3,35,"PERNMIKMD1"
"142",3,36,"FISHFERVA1"
"143",3,37,"FREYFREMD1"
"144",3,38,"JACOMERMD1"
"145",3,39,"BALASUCMD1"
"146",3,40,"GECACARVA1"
"147",3,41,"OLONMARDC1"
"148",3,42,"BROWANNMD1"
"149",3,43,"MOLIKARMD1"
"150",3,44,"BEALTOMMD1"
"151",3,45,"STURCARMD1"
"152",3,46,"OBRICHRMD1"
"153",3,47,"VERSBETMD1"
"154",3,48,"PIROELADC1"
"155",3,49,"VONGJENMD1"
"156",3,50,"PADORAMVA1"
"157",3,51,"MOSMCARMD1"
"158",3,52,"BARBJERMD1"
"159",3,53,"BURDROBVA1"
