Submission ID,Submission Final Decision,ABSTRACT TITLE,Submission Type,ABSTRACT TEXT,Presenting Author FN,Presenting Author LN,Author 1 Role,Author 1 FN,Author 1 LN,Author 1 Organization,Author 2 Role,Author 2 FN,Author 2 LN,Author 2 Organization,Author 3 Role,Author 3 FN,Author 3 LN,Author 3 Organization,Author 4 Role,Author 4 FN,Author 4 LN,Author 4 Organization,Author 5 Role,Author 5 FN,Author 5 LN,Author 5 Organization,Author 6 Role,Author 6 FN,Author 6 LN,Author 6 Organization,Author 7 Role,Author 7 FN,Author 7 LN,Author 7 Organization,Author 8 Role,Author 8 FN,Author 8 LN,Author 8 Organization,Author 9 Role,Author 9 FN,Author 9 LN,Author 9 Organization,Author 10 Role,Author 10 FN,Author 10 LN,Author 10 Organization,Author 11 Role,Author 11 FN,Author 11 LN,Author 11 Organization,Author 12 Role,Author 12 FN,Author 12 LN,Author 12 Organization,Author 13 Role,Author 13 FN,Author 13 LN,Author 13 Organization,Author 14 Role,Author 14 FN,Author 14 LN,Author 14 Organization,Author 15 Role,Author 15 FN,Author 15 LN,Author 15 Organization,Author 16 Role,Author 16 FN,Author 16 LN,Author 16 Organization,Author 17 Role,Author 17 FN,Author 17 LN,Author 17 Organization,Author 18 Role,Author 18 FN,Author 18 LN,Author 18 Organization,Author 19 Role,Author 19 FN,Author 19 LN,Author 19 Organization,Author 20 Role,Author 20 FN,Author 20 LN,Author 20 Organization,Author 21 Role,Author 21 FN,Author 21 LN,Author 21 Organization,Author 22 Role,Author 22 FN,Author 22 LN,Author 22 Organization,Author 23 Role,Author 23 FN,Author 23 LN,Author 23 Organization,Author 24 Role,Author 24 FN,Author 24 LN,Author 24 Organization,Author 25 Role,Author 25 FN,Author 25 LN,Author 25 Organization,Author 26 Role,Author 26 FN,Author 26 LN,Author 26 Organization
183260,Lightnin,Genetic and behavioral divergence among Northern Cardinal populations: testing the permeability of a biogeographic barrier,General Session,"Biogeographic barriers often play an important role in initiating the first step of allopatric speciation by genetically isolating bird populations. However, biogeographic barriers serve as filters in that some species exhibit rapid divergence and others maintain high gene flow across the barrier. Because these biogeographic filters preferentially allow populations with certain traits or ecologies to pass through them and exchange genes, allopatry only occurs between populations missing those traits. Understanding which traits modulate a filter barrier would elucidate how allopatric speciation is initiated or prevented. We tested whether behavioral isolation via song recognition can maintain genetic isolation across the Cochise Filter Barrier, which separates the Sonoran and Chihuahuan deserts. To quantify genetic structure and the degree of gene flow across the barrier, we collected mitochondrial and genomic SNP-based genetic variation of the Northern Cardinal (Cardinalis cardinalis). We evaluated song recognition via playback experiments to quantify Sonoran males’ responses to familiar vs. novel songs. To determine if reproductive signaling mismatches can maintain isolation in this system, we used differences in recognition between desert populations. Mitochondrial data showed reciprocal monophyly between desert populations, but genomic data suggest that gene flow may occur. Differential responses to playbacks suggested that males recognized songs from geographically close populations, but not distant populations, as conspecific. We posit that the permeability of the filter barrier is directly linked to mating behavior in Northern Cardinals. As songs diverge among populations, the filter barrier will become less permeable, leading to the onset of speciation.",Kaiya,Provost,First Author,Kaiya,Provost,Columbia University/American Museum of Natural History,Remaining Co-Author,William,Mauck,American Museum of Natural History,Remaining Co-Author,Brian,Smith,American Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185735,Lightnin,Phylogenetic relationships of myzomelid honeyeaters reveal contrasting patterns of diversification in Australasia,General Session,"The myzomelid honeyeaters (Myzomela, Meliphagidae) comprise 77 named taxa in 30 species, and are ubiquitous across much of the Australasian tropics. Despite their small size, most myzomelids exhibit a strong capacity for long-distance dispersal, which has enabled successful colonization of remote islands throughout Wallacea, Micronesia, and western Polynesia. Although several recent studies have brought significant advances in resolving higher-level meliphagid phylogenetic relationships, limited representation within Myzomela has precluded detailed biogeographic inference within the group. In this study, we developed a multilocus dataset with comprehensive taxon sampling to examine the diversification history and species-limits of myzomelid honeyeaters throughout their distribution. Maximum likelihood and Bayesian inference analyses recovered a well resolved phylogeny indicating that myzomelid honeyeaters likely arose in the Bismarck Archipelago during the late Miocene, followed by early waves of diversification in New Guinea, Australia, and eastern Wallacea. Secondary pulses of rapid diversification are evident in the Solomon Islands, Wallacea, Micronesia and western Polynesia, which account for over half of the myzomelid species diversity. The evolutionary history of Myzomela is considerably more complex within archipelagos of Wallacea by comparison with Melanesian and Polynesia counterparts, a pattern that is consistent with other Australasian bird groups. Our molecular phylogenetic results also clarified several important aspects of myzomelid plumage evolution and taxonomy, revealing paraphyly in four currently recognized species complexes and confirming labile plumage evolution throughout the group. ",Brett,Benz,First Author,Brett,Benz,American Museum of Natural History,Remaining Co-Author,Robert,Moyle,University of Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183424,Lightnin,Abundance and demographic rates are not correlated across the global range of a species,General Session,"Population growth rates are widely hypothesized to be greatest at the geographic center of the species range, but direct empirical support is limited because demographic data are difficult to collect over a large spatial scale. Indirect empirical support for this pattern using abundance data forms a deep body of literature, but the results have been mixed. Therefore, the texture of how demographic rates of a species vary over its range remains an open question, and one of growing importance for conservation in the face of climate change. We quantified abundance, a number of demographic rates (seasonal fecundity, adult annual survival, and annual population growth rate), and adult condition as an index of population growth rate across 59% of the global breeding range of a single species, the saltmarsh sparrow (Ammodramus caudacutus). We used data collected across 5 years that included >800 nests and >6,000 captures sampled at 20 demographic plots which span 575 km. Saltmarsh sparrows exhibit a broad pattern of greatest abundance near the geographic center of the species range. However, demographic rates and adult condition did not peak near the geographic center of the range, and none of the metrics correlated well with the observed pattern of abundance (ranging from 0.01-0.33). Thus, abundance is a poor indicator of demographic rates in this system. Our results do not support the hypothesis that demographic rates peak at the geographic center of species’ ranges. Instead, our results demonstrate a mosaic of demographic rates and indices that vary on a local scale.",Katharine,Ruskin,First Author,Katharine,Ruskin,University of Connecticut,Remaining Co-Author,Alyssa,Borowske,University of Connecticut,Remaining Co-Author,Maureen,Correll,Bird Conservancy of the Rockies,Remaining Co-Author,Christopher,Field,The University of Connecticut,Remaining Co-Author,Whitney,Wiest,USFWS,Remaining Co-Author,Jonathan,Cohen,SUNY College of Environmental Science and Forestry,Remaining Co-Author,Thomas,Hodgman,The Saltmarsh Habitat and Avian Research Program,Remaining Co-Author,Adrienne,Kovach,University of New Hampshire,Remaining Co-Author,Brian,Olsen,The University of Maine,Remaining Co-Author,W. Gregory,Shriver,The University of Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186476,Lightnin,Just Google it: using Google Images to describe geographical variation in visible traits of birds,General Session,"Information on the spatial distribution of phenotypic traits can be important for evolutionary and ecological studies. However, traditional approaches, such as fieldwork, can be time-consuming and expensive. Information technologies, such as Internet search engines, could facilitate the collection of these data. We investigated the use of Google Images to extract data on geographical variation in phenotypic traits visible from photographs. We compared the distribution of visual traits obtained from Google Images with four previous studies (1 mammal and 3 bird case studies). We found very good agreement between fieldwork data and Google Images data across all studies. Additionally, we developed a free-to-use web application (MORPHIC) which facilitates the data capture of this method. Our results suggest that this method can work well for visible traits of common and widespread species that are objective, binary, and easy to see irrespective of angle. The Google Images method is cost-effective and rapid and can be used with some confidence when investigating patterns of geographical variation, as well as a range of other applications. In many cases, it could therefore supplement or replace fieldwork. ",Arjun,Amar,Presenting Author,Arjun,Amar,Percy FitzPatrick Institute of African Ornithology,First Author,Gabriella,Leighton,University of Cape Town,Remaining Co-Author,Pierre,Hugo,University of Cape Town,Remaining Co-Author,Alex,Roulin,University of Lausanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184997,Lightnin,Asymmetric gene flow during the protracted diversification of dry-forest-bird assemblages in northwest Peru,General Session,"Arid-adapted bird faunas in the Neotropics are often fragmented by intervening mountains and rainforests giving rise to high local endemism. We tested hypotheses on the origins of avian diversity in two Neotropical dry forests, the Tumbes and Marañón dry forests in northwestern Peru, by modeling the population history of six taxon pairs distributed across the western cordillera of the Andes. To obtain genome-wide genetic variation, we employed a reduced-representation genome sequencing technique, Double Digest Restriction Associated DNA (ddRAD). We then used both full and composite likelihood approaches to estimate population genetic parameters and identify the best-fit demographic model. Our results indicate asymmetric gene flow from the Tumbes into the Marañón valley across multiple species, and that the diversification between these areas was a protracted process.",Brian,Smith,First Author,Jessica,Oswald,Louisiana State University,Remaining Co-Author,Isaac,Overcast,City College of New York,Remaining Co-Author,William,Mauck,American Museum of Natural History,Remaining Co-Author,Michael,Andersen,University of New Mexico,Presenting Author,Brian,Smith,American Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185314,Lightnin,Metrics of Neotropical Bird Wings: Ecological and Evolutionary Correlates,General Session,"The wings of birds and other flying animals are shaped by characteristics of their flight. Here, I compare the morphometrics of 71 species of Neotropical birds to a series of variables that could be drivers of wing dimensions in sedentary birds. I calculated the wing-loading (WL) and aspect ratio (AR) of birds captured in mist nets in five localities in Costa Rica, and compared them to six factors and their interactions. My comparisons of the ecological and evolutionary variables that could influence the WL and AR of these birds showed effects of different magnitude. Elevation, vegetation type, sensitivity to habitat disturbance, and range size had no effect on either of the two metrics used. However, single factors foraging guild and taxonomic family showed strong effects that are highly significant. All the two-factor interactions that involve taxonomic family are also highly significant. The two different metrics of wing shape used in this investigation support the predictions of Seebohm’s Rules, and the results of a handful of published papers, that show the wings of sedentary, Neotropical birds are more rounded and carry more weight than any other bird with published data. The higher WL and lower AR of sedentary species found in this study suggest that these birds are less constrained by long-distance movements than their migratory counterparts and that they can pay the cost of an increased wing-loading and aspect ratio.",Ernesto,Ruelas Inzunza,First Author,Ernesto,Ruelas Inzunza,Universidad Veracruzana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183245,Lightnin,Endemism in the Pacific lowlands of Mexico: Phylogeography of the White-collared Seedeater (Sporophila torqueola),General Session,"Resolving the evolutionary and ecological factors that generate and maintain avian biodiversity is a central goal of ornithology. The Pacific lowlands of Mexico are biodiverse but understudied with respect to spatial patterns of genealogical and phenotypic diversity. We examine genetic and phenotypic variation of the widespread White-collared Seedeater (Sporophila torqueola), a granivorous songbird. We use high-throughput sequencing of ultraconserved elements to reconstruct the evolutionary history of populations from the Pacific and Atlantic lowlands of Mexico and Central America. Leveraging over 1000 nuclear loci and whole mitochondrial genomes from 72 individuals sampled throughout the species’ range, we report that the Pacific lowlands populations (S. t. torqueola group) are genetically differentiated from the remaining populations (S. t. morelletti group). The two lineages are reciprocally monophyletic with ~7.5% divergence in mitochondrial DNA. Using coalescent models, we find little evidence of gene flow between the two lineages, while ecological niche models suggest multiple glacial refugia during the last glacial maximum. Additionally, there is extensive phenotypic differentiation within the complex: the western S. t. torqueola group has a cinnamon rump and crissum with no wing bars, while the eastern S. t. morelletti group has wing bars combined with a white rump and crissum. Our study provides evidence of strong phenotypic and genetic differentiation within the S. torqueola complex, suggesting a possible taxonomic split. These findings highlight the Pacific lowlands of Mexico as a biodiverse—yet understudied—region of avian endemism.",Nicholas,Mason,First Author,Nicholas,Mason,Cornell University,Remaining Co-Author,Arturo,Olvera-Vital,Universidad Nacional Autonoma de Mexico,Remaining Co-Author,Adolfo,Navarro-Sigüenza,Universidad Nacional Autónoma de México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183468,Lightnin,Patterns and mechanisms of population diversification in Bornean montane birds,General Session,"Elucidating patterns and processes that cause diversification of populations is among the most interesting areas of research in evolutionary biology. Changes in an organism’s biogeographic and ecological context during its evolutionary history increases the complexity of the processes underlying the divergence of its populations and, consequently, the work required to sort them out. Borneo is perhaps the most important source of biodiversity in SE Asia, and its mountains played a key role in this process. Bornean mountains hold more endemic avian species (39) than the entirety of any other Sundaic island. To gain insight into the evolutionary history and process of population diversification on Borneo, we studied the comparative phylogeography of 11 montane species in light of their historical, ecological, and morphological characteristics. Among significant patterns, we discovered that more vagile species had less population structure, whereas long-lived (presumably less dispersive) species had greater population structure. In those species with clear population structure, divergence time estimates showed that populations diversified during the early to mid-Pleistocene. Phylogeographic patterns and divergence timing suggested: (1) at least two montane refuges existed in Borneo during the cooler, drier early Pleistocene, and one of these was in the northeastern part of the island; (2) the structure and timing of diversification in montane populations resembles that of lowland populations; and (3) isolated mountains that are not part of the central Bornean range have distinct populations, even though these remote mountains were connected to the central mountain chain and gene flow was expected during the LGM.",Vivien,Chua,First Author,Vivien,Chua,Louisiana State University,Remaining Co-Author,Brian,Smith,American Museum of Natural History,Remaining Co-Author,Robert,Moyle,University of Kansas,Remaining Co-Author,Thomas,Martin,USGS - University of Montana,Remaining Co-Author,Frederick,Sheldon,Louisiana State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185642,Lightnin,Geographic and Morphological variation within the Icterus chrysater complex (Yellow-backed Oriole),General Session,"Geographic barriers between populations of a species can result in divergence of genes, morphology, or behaviors that can lead to speciation. The Yellow-backed Oriole (Icterus chrysater) is distributed from Southern Mexico to Colombia but with a major range disjunction of 600 km in Costa Rica where this species is absent. We examined molecular and morphological data for differences between northern and southern populations. We sequenced seven genes in total: the mitochondrial control region and six nuclear introns. Genetic data show strong north–south population structure, but with evidence of gene flow. The evidence of gene flow between populations is surprising due to the large geographic break between populations. We found more than 1 migrant/population/generation from either side of Costa Rica. In addition, the estimated time since divergence between the two populations is of about 15,000 years. We also measured six morphological characters from specimens collected along the species’ distribution and found shallow north–south divergence. Finally, this species exhibits certain characteristics that suggests that it is in the earliest stages of intraspecific differentiation including shallow genetic and morphometric differences with no evidence of reproductive isolation.",Nandadevi,Cortes,Presenting Author,Nandadevi,Cortes,"Smithsonian Insitution, NZP",Remaining Co-Author,Rachel,Sturge,Cornell University,Remaining Co-Author,Kevin,Omland,Univesity of Maryland Baltimore County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185229,Lightnin,"Integrating morphology, phylogeography, and ecological niche modeling to explore population differentiation in North African Common Chaffinches",General Session,"Diagnosing discrete evolutionary taxa requires careful assessment of genetic, morphological, ecological, and behavioral variation within and among populations. In this study, data on phenotype (mensural and coloration characters) and genotype [mitochondrial DNA (mtDNA) control-region sequences], and distributional projections derived from ecological niche models (ENMs), were used to investigate population differentiation of North African Common Chaffinches. Results showed substantial genetic variation among populations, mostly (~56%) distributed between Libyan populations and other North African populations, rather than within populations. Isolation-by-distance analyses, together with spatial genetic structure analyses, indicated severely restricted gene flow between populations. Historical demographic analyses indicate that population expansion began before the Last Glacial Maximum (LGM), which is concordant with ecological niche model paleoprojections; interestingly, the differentiation of the Libyan population apparently did not take place under the last glacial conditions. Hence, although its taxonomic status must await robust testing using multilocus DNA data, this population is an important element in the conservation of bird diversity in North Africa.",Utku,Perktas,Presenting Author,Utku,Perktas,Hacettepe University,Remaining Co-Author,A. Townsend,Peterson,University of Kansas,Remaining Co-Author,Dale,Dyer,American Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
